소속 ,국회 ,직위 ,국회의원 ,성명 ,김학용 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"1,054,803","134,095","273,000","915,898",,,
,,,,,,,
본인 ,답 ,"경기도 안성시 공도읍 양기리 363-5번지 4,076.00m² ","187,496","10,190",0,"197,686",가액변동 
,,,,,,,
본인 ,임야 ,"경기도 안성시 보개면 오두리 산 2-1번지 7,240.00m² 중 1,810.00m² ","13,882",489,0,"14,371",가액변동 
,,,,,,,
본인 ,대지 ,경기도 안성시 공도읍 승두리 63-15번지 178.00m² ,"177,038","3,276",0,"180,314",가액변동 
,,,,,,,
본인 ,답 ,"경기도 안성시 공도읍 양기리 381-1번지 1,428.00m² ","158,508","2,570",0,"161,078",가액변동 
,,,,,,,
본인 ,전 ,경기도 안성시 공도읍 양기리 381-2번지 803.00m² ,"94,432","1,928",0,"96,360",가액변동 
,,,,,,,
본인 ,전 ,경기도 안성시 공도읍 양기리 381-3번지 357.00m² ,"39,627",642,0,"40,269",가액변동 
,,,,,,,
본인 ,전 ,경기도 안성시 고삼면 월향리 210-1번지 0.00m² (836.00m² 감소) ,"273,000",0,"273,000",0,건물항목 신고 
,,,,,"-273,000",,
,,,,,,,
본인 ,임야 ,경기도 안성시 고삼면 월향리 산 28-12번지 101.00m² ,"21,420",0,0,"21,420",변동없음 
,,,,,,,
본인 ,임야 ,경기도 안성시 고삼면 월향리 210-14번지 591.00m² ,"89,400",0,0,"89,400",변동없음 
,,,,,,,
본인 ,전 ,"경기도 안성시 보개면 오두리 303번지 1,243.00m² (1,243.00m² 증가) ",- ,"115,000",0,"115,000",신규매입 
,,,,"-115,000",,,
,,,,,,,
▶ 건물(소계) ,"433,217","372,600","209,332","596,485",,,
,,,,,,,
본인 ,아파트 ,경기도 안성시 금산동 삼부아파트 건물 84.94m² ,"108,000",0,"7,000","101,000",가액변동 
,,,,,,,
본인 ,사무실 전세(임차)권 ,경기도 안성시 봉산동 3층 건물 155.84m² ,"30,000",0,0,"30,000",변동없음 
,,,,,,,
본인 ,단독주택 ,경기도 안성시 공도읍 승두리 대지 78.14m² 건물 127.74m² ,"77,800","9,600",0,"87,400",가액변동 
,,,,,,,
본인 ,근린생활시설 ,경기도 안성시 공도읍 승두리 건물 148.90m² ,"17,417",0,"2,332","15,085",가액변동 
,,,,,,,
본인 ,아파트 전세(임차)권 ,서울특별시 영등포구 문래동3가 국화아파트 국화아파트 건물 0.00m² (건물 42.00m² 감소) ,"200,000",0,"200,000",0,계약만료 
,,,,,,,
본인 ,오피스텔 전세(임차)권 ,서울특별시 관악구 봉천동 한양아이클래스 오피스텔 건물 38.00m² (건물 38.00m² 증가) ,- ,"10,000",0,"10,000",신규계약 
,,,,,,,
본인 ,단독주택 ,"경기도 안성시 고삼면 월향리 대지 836.00m² 건물 101.20m² (대지 836.00m² 증가, 건물 101.20m² 증가) ",- ,"353,000",0,"353,000",기존대지에건물신축 
,,,,"-353,000",,,
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"25,450",0,"8,450","17,000",,,
,,,,,,,
본인 ,기타 ,이륜자동차 ,"17,000",- ,- ,"17,000",변동없음 
,,,,,,,
배우자 ,자동차 ,"2015년식 K3 배기량(1,591cc) 감소 ","8,450",0,"8,450",0,매도 
,,,,,"-8,450",,
,,,,,,,
▶ 예금(소계) ,"334,513","364,121","196,547","502,087",,,
,,,,,,,
본인 ,,"안성신협 330(3 증가), 농협생명보험 3,946(448 증가), 신용협동조합중앙회 1,330(23 증가), 안성시산림조합 5,100(5,000 증가), 한화투자증권 1, 농협은행 9,678(20,482 감소), 농협중앙회 3,809(981 감소), 국민은행 219,986(197,661 증가), SK증권 1, 안성제일신협 113 ","62,622","234,111","52,439","244,294","급여소득, 전세보증금 및 정치자금차입금 일부 환수, 생활비지출등 "
,,,,,,,
배우자 ,,"KB증권 47, 삼성생명보험 9,588(1,505 증가), 안성 54(1 증가), 농협손해보험 6,000(600 증가), 농협은행 8,979(4,768 감소), 교보생명보험 39,548(2,647 증가) ","64,231","4,993","5,008","64,216",
,,,,,,,
모 ,,"농협중앙회 169,405(11,051 증가), 우체국 1,147(216 증가), 현대해상화재보험 0(24,000 감소) ","183,285","121,267","134,000","170,552",
,,,,,,,
장남 ,,"농협은행 1,438(249 증가) ","1,189",249,0,"1,438",
,,,,,,,
장녀 ,,"농협중앙회 626(3,433 감소), 농협은행 660(240 증가), 삼성생명보험 17,673(1,877 증가) ","20,275","2,117","3,433","18,959",
,,,,,,,
차녀 ,,"키움닷컴증권 341(1,667 감소), 농협중앙회 40(21 증가), 농협은행 2,247(1,363 증가) ","2,911","1,384","1,667","2,628",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"1,096",0,221,875,,,
,,,,,,,
본인 ,,농협은행 875(221 감소) ,"1,096",0,221,875,정치자금지출로 인한 감소 
,,,,,,,
▶ 유가증권(소계) ,"6,125",26,"1,462","4,689",,,
,,,,,,,
차녀 ,상장주식 ,"카카오 43주, 코스맥스보통주 2주 ","6,125",26,"1,462","4,689",평가액 변동 
,,,,,,,
▶ 채권(소계) ,"60,000",0,0,"60,000",,,
,,,,,,,
모 ,,사인간채권 ,"60,000",0,0,"60,000",변동없음 
,,,,,,,
▶ 채무(소계) ,"50,000","72,000",0,"122,000",,,
,,,,,,,
본인 ,,사인간채무 증가 ,"50,000","72,000",0,"122,000",토지매입 위한 대출 
,,,,,,,
총계 ,"1,865,204","798,842","689,012","1,975,034","증 감 액 : 109,830천원 (가액변동: 9,477천원) ",,
,,,,,,,
