소속 ,국회 ,직위 ,국회의원 ,성명 ,김한정 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"1,234,000",0,"10,000","1,224,000",,,
,,,,,,,
본인 ,단독주택 ,서울특별시 종로구 청운동 대지 224.80m² 중 112.40m² 건물 216.99m² 중 108.50m² ,"292,000",0,0,"292,000",가액변동없음 
,,,,,,,
본인 ,아파트 ,경기도 남양주시 별내동 쌍용예가아파트 건물 134.98m² 중 67.49m² ,"320,000",0,0,"320,000",가액변동없음 
,,,,,,,
배우자 ,단독주택 ,서울특별시 종로구 청운동 대지 224.80m² 중 112.40m² 건물 216.99m² 중 108.45m² ,"292,000",0,0,"292,000",가액변동없음 
,,,,,,,
배우자 ,아파트 ,경기도 남양주시 별내동 쌍용예가아파트 건물 134.98m² 중 67.49m² ,"320,000",0,0,"320,000",가액변동없음 
,,,,,,,
장녀 ,오피스텔 전세(임차)권 ,서울특별시 마포구 대흥동 서희스타힐스 건물 0.00m² (건물 12.88m² 감소) ,"10,000",0,"10,000",0,전세권 만료 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"10,000",390,0,"10,390",,,
,,,,,,,
본인 ,자동차 ,"2011년식 싼타페2.2디젤(4WD) 배기량(2,199cc) ","10,000",390,0,"10,390",가액변동 
,,,,,,,
▶ 예금(소계) ,"487,706","26,983","322,002","192,687",,,
,,,,,,,
본인 ,,"현대해상화재보험 12,000, 금빛 117(4 증가), 신한은행 141(1 증가), 농협은행 11,766(6,411 감소), 씨티은행 1,019(1 증가), 국민은행 9,497(14,192 감소), (주)KEB하나은행 4,368(1,272 증가), 농협중앙회 1, 농협손해보험 850(600 증가), 한국카카오 은행(주) 400(400 증가), 스탠다드차타드은행 4,553(912 감소) ","63,949","8,276","27,513","44,712",주식매입및생활비지출등 
,,,,,,,
배우자 ,,"청운효자동 12, DB손해보험(주) 280(240 증가), 스탠다드차타드 은행 2,315(274,400 감소), 한화투자증권 9, 국민은행 11,488 (8,203 감소), 현대해상화재보험 13,988(3,583 증가), 삼성생명 보험 85,135(5,278 증가), 농협중앙회 76, 신한은행 5(21 감소), (주)KB손해보험 2,234(1,412 증가), NH투자증권 9, 한국투자증권 340(280 증가), 교보생명보험 6,276 ","393,998","10,793","282,624","122,167",
,,,,,,,
부 ,,"국민은행 569(1 증가), 농협중앙회 2,745(467 감소), (주)KEB하나은행 1,232(1,531 감소) ","6,543",1,"1,998","4,546",
,,,,,,,
모 ,,"국민은행 737(4,019 감소), 농협중앙회 1,408(3,496 감소) ","9,660",0,"7,515","2,145",
,,,,,,,
장녀 ,,"국민은행 14,569(7,409 증가), 스탠다드차타드은행 0(16 감소), 교보생명보험 0(1,027 감소), 우리은행 378(354 증가), 한국카카오은행(주) 58(58 증가), 신한은행 1 ","8,228","7,821","1,043","15,006",
,,,,,,,
차녀 ,,우리은행 794(666 감소) ,"1,460",0,666,794,
,,,,,,,
장남 ,,"신한은행 218(39 증가), 중소기업은행 42(42 증가), 한국투자증권 3,046(643 감소), 국민은행 11(11 증가) ","3,868",92,643,"3,317",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"136,992","42,660",0,"179,652",,,
,,,,,,,
본인 ,,"농협은행 179,652(42,660 증가) ","136,992","42,660",0,"179,652",후원금 증가 
,,,,,,,
▶ 유가증권(소계) ,0,"254,355",0,"254,355",,,
,,,,,,,
배우자 ,상장주식 ,"현대모비스 1,000주(1,000주 증가), 삼성물산 610주(610주 증가) ",0,"254,355",0,"254,355",주식신규매입 
,,,,,,,
▶ 채무(소계) ,"1,099,962",0,"12,973","1,086,989",,,
,,,,,,,
본인 ,금융기관채무 ,"삼성카드 24,836(6,645 감소), 농협은행 50,000, (주)KEB하나은행 292,153(6,328 감소) ","379,962",0,"12,973","366,989",급여상환등 
,,,,,,,
본인 ,건물임대채무 ,서울특별시 종로구 청운동 임대보증금 ,"360,000",0,0,"360,000",전세보증금 
,,,,,,,
배우자 ,건물임대채무 ,서울특별시 종로구 청운동 임대보증금 ,"360,000",0,0,"360,000",전세보증금 
,,,,,,,
총계 ,"768,736","324,388","319,029","774,095","증감액:5,359천원 (가액변동: 390천원) ",,
,,,,,,,
