소속 ,국회 ,직위 ,국회의원 ,성명 ,김한표 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"32,454","1,398",0,"33,852",,,
,,,,,,,
부 ,전 ,경상남도 거제시 장목면 관포리 563-3번지 284.00m² ,"23,004",908,0,"23,912",가액변동 
,,,,,,,
부 ,전 ,경상남도 거제시 장목면 관포리 469-30번지 21.00m² ,"3,404",170,0,"3,574",가액변동 
,,,,,,,
부 ,전 ,경상남도 거제시 장목면 관포리 307-4번지 139.00m² ,"6,046",320,0,"6,366",가액변동 
,,,,,,,
▶ 건물(소계) ,"343,800",0,"11,300","332,500",,,
,,,,,,,
본인 ,아파트 전세(임차)권 ,서울특별시 동작구 사당동 대아아파트 건물 110.77m² ,"250,000",0,0,"250,000",변동없음 
,,,,,,,
본인 ,단독주택 전세(임차)권 ,경상남도 거제시 상동동 건물 82.00m² ,"35,000",0,0,"35,000",변동없음 
,,,,,,,
부 ,단독주택 ,경상남도 거제시 장목면 관포리 대지 174.00m² 건물 70.64m² ,"58,800",0,"11,300","47,500",가액변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"19,670","6,150","2,960","22,860",,,
,,,,,,,
본인 ,자동차 ,"2013년식 맥스크루즈 배기량(2,199cc) ","19,670",0,"2,960","16,710",가액변동 
,,,,,,,
장남 ,자동차 ,"2017년식 420d Gran Coupe 배기량(1,995cc) 증가 ",0,"6,150",0,"6,150",리스보증금 
,,,,,,,
▶ 예금(소계) ,"241,179","57,963","58,179","240,963",,,
,,,,,,,
본인 ,,"신한은행 928(1 증가), (주)KB손해보험 23,169(3,564 증가), 농협은행 6,255(2,546 증가), 대신증권 25(1 증가), 농협중앙회 6,386(9,398 감소), (주)KEB하나은행 2,396(3 증가), 농협손해보험 100 ","42,542","6,115","9,398","39,259",급여저축및생활비지출등 
,,,,,,,
배우자 ,,"DB손해보험(주) 12,835(1,838 증가), (주)KEB하나은행 1,220(751 증가), 한화투자증권 9, 현대해상화재보험 15,650(1,178 증가), 삼성생명보험 8,262, AIA생명보험 4,703(359 증가), 한화생명보험 95,525(7,552 증가), DB생명보험(주) 140(140 증가) ","126,526","11,818",0,"138,344",
,,,,,,,
부 ,,"농협중앙회 31,542(7,023 증가), 우리은행 4 ","24,523","24,005","16,982","31,546",
,,,,,,,
모 ,,"농협중앙회 22,115(7,678 증가), 한화생명보험 0(1,438 감소) ","15,875","15,001","8,761","22,115",
,,,,,,,
장남 ,,"신한은행 8(46 감소), 삼성증권 0(70 감소), 이베스트투자증권 1, 중소기업은행 6(6 증가), 한화생명보험 8,295(17,589 감소), 현대해상화재보험 120(120 증가), 농협중앙회 7, 수협은행 0(17 감소), 국민은행 433(73 증가), (주)KEB하나은행 726(667 증가), AIA생명보험 0(5,257 감소), 스탠다드차타드은행 2, 키움닷컴증권 2, DB손해보험(주) 99(99 증가) ","31,713","1,024","23,038","9,699",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"58,888",0,"44,090","14,798",,,
,,,,,,,
본인 ,,"농협중앙회 14,798(44,090 감소) ","58,888",0,"44,090","14,798",정치자금 지출 
,,,,,,,
▶ 채무(소계) ,"742,798","101,928","118,510","726,216",,,
,,,,,,,
본인 ,,사인간채무 감소 ,"130,000",0,"70,000","60,000",급여 등으로 일부상환 
,,,,,,,
본인 ,금융기관채무 ,"농협은행 114,000, 공무원연금공단 59,201(8,993 감소) ","182,194",0,"8,993","173,201",급여 등으로 일부상환 
,,,,,,,
본인 ,기타 ,기술보증기금부산서부재기지원센 감소 ,"14,912",0,155,"14,757",급여 등으로 일부상환 
,,,,,,,
배우자 ,,사인간채무 감소 ,"360,000",0,"30,000","330,000",급여 등으로 일부상환 
,,,,,,,
배우자 ,금융기관채무 ,"한화생명보험 27,000(13,000 증가) ","14,000","13,230",230,"27,000",생활비 마련 채무 
,,,,,,,
장남 ,금융기관채무 ,"국민은행 30,000, 현대카드(주) 3,392(8,300 감소), (주)KEB하나은행 50,000(50,000 증가), 현대캐피탈 35,533(35,533 증가), 하나카드 2,333(2,333 증가) ","41,692","88,698","9,132","121,258","리스잔여대금, 생활비 마련 채무 "
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,"103,692",0,"103,692",0,,,
,,,,,,,
차녀 ,,등록제외 ,"103,692",0,"103,692",0,혼인 
,,,,,,,
총계 ,"56,885","-36,417","101,711","-81,243","증 감 액 : -138,128천원 (가액변동: -12,862천원) ",,
,,,,,,,
