소속 ,국회 ,직위 ,국회의원 ,성명 ,김해영 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"458,000","6,000",0,"464,000",,,
,,,,,,,
본인 ,아파트 ,부산광역시 연제구 연산동 연산자이아파트 건물 131.90m² 중 65.95m² ,"209,000","3,000",0,"212,000",가액변동 
,,,,,,,
본인 ,사무실 전세(임차)권 ,부산광역시 연제구 연산동 동광빌딩 6층 건물 129.97m² ,"30,000",0,0,"30,000",변동없음 
,,,,,,,
본인 ,오피스텔 전세(임차)권 ,서울특별시 양천구 목동 현대파리지앙 건물 62.68m² ,"10,000",0,0,"10,000",변동없음 
,,,,,,,
배우자 ,아파트 ,부산광역시 연제구 연산동 연산자이아파트 건물 131.90m² 중 65.95m² ,"209,000","3,000",0,"212,000",가액변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"25,380","30,600","25,380","30,600",,,
,,,,,,,
본인 ,자동차 ,"2018년식 THE NEW 카니발 9인승 R2.2 프레스티지 배기량(3,342cc) 증가 ",0,"10,000",0,"10,000",신규계약 
,,,,,,,
배우자 ,자동차 ,"2015년식 그랜저 배기량(2,999cc) 감소 ","25,380",0,"25,380",0,권리명세변경 
,,,,,,,
배우자 ,자동차 ,"2015년식 그랜저 배기량(2,999cc) 증가 ",0,"20,600",0,"20,600",권리명세변경으로 인한 재등록 
,,,,,,,
▶ 예금(소계) ,"173,975","46,533","43,676","176,832",,,
,,,,,,,
본인 ,,"부산은행 9,645(1,070 증가), 신한은행 4,702(301 감소), 부산거제신협 30, (주)KB손해보험 3,087(809 증가), 농협은행 557(35 증가), AIA생명보험 16,299(1,780 증가), 유안타증권 2, 동양생명보험 4,139(1,080 증가) ","33,988","15,190","10,717","38,461",급여저축및생활비지출등 
,,,,,,,
배우자 ,,"유안타증권 261(4 증가), 연산제일 10, 새마을금고중앙회 공제사업부 54,000(24,000 증가), 현대해상화재보험 19,441 (2,239 증가), 국민은행 1, 부산거제신협 10, (주)KB손해보험 2,081(921 증가), AIA생명보험 10,276(927 증가), 우리은행 45,250(32,959 감소), 신한생명보험 1,890(324 증가), 부산은행 3,050(928 증가), 수협중앙회 2,000(2,000 증가) ","139,886","31,343","32,959","138,270",
,,,,,,,
장녀 ,,유안타증권 1 ,1,0,0,1,
,,,,,,,
장남 ,,신한은행 100 ,100,0,0,100,
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"3,446","9,542",0,"12,988",,,
,,,,,,,
본인 ,,"부산은행 12,988(9,542 증가) ","3,446","9,542",0,"12,988",후원금 증가 
,,,,,,,
▶ 채권(소계) ,0,"30,000",0,"30,000",,,
,,,,,,,
본인 ,,사인간채권 증가 ,0,"30,000",0,"30,000",신규 채권 
,,,,,,,
▶ 채무(소계) ,0,"30,000",0,"30,000",,,
,,,,,,,
본인 ,,사인간채무 증가 ,0,"30,000",0,"30,000",신규 채무 
,,,,,,,
총계 ,"660,801","92,675","69,056","684,420","증감액:23,619천원 (가액변동: 6,000천원) ",,
,,,,,,,
