소속 ,국회 ,직위 ,국회의원 ,성명 ,김현권 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"221,610","21,905",0,"243,515",,,
,,,,,,,
본인 ,답 ,"경상북도 의성군 봉양면 문흥리 162번지 1,864.00m² ","27,960","2,796",0,"30,756",가액변동 
,,,,,,,
본인 ,답 ,"경상북도 의성군 봉양면 문흥리 163번지 2,007.00m² ","30,105","3,010",0,"33,115",가액변동 
,,,,,,,
본인 ,답 ,경상북도 의성군 봉양면 문흥리 218-3번지 479.00m² ,"7,137",718,0,"7,855",가액변동 
,,,,,,,
본인 ,전 ,경상북도 의성군 봉양면 문흥리 580번지 202.00m² ,"1,959",182,0,"2,141",가액변동 
,,,,,,,
본인 ,전 ,경상북도 의성군 봉양면 문흥리 579번지 136.00m² ,"1,319",122,0,"1,441",가액변동 
,,,,,,,
본인 ,전 ,경상북도 의성군 봉양면 문흥리 564번지 112.00m² ,"1,086",101,0,"1,187",가액변동 
,,,,,,,
본인 ,하천 ,경상북도 의성군 봉양면 문흥리 242-2번지 542.00m² ,"6,829",542,0,"7,371",가액변동 
,,,,,,,
본인 ,과수원 ,경상북도 의성군 봉양면 문흥리 242-1번지 648.00m² ,"8,812",713,0,"9,525",가액변동 
,,,,,,,
본인 ,답 ,"경상북도 의성군 봉양면 문흥리 241-2번지 1,058.00m² ","16,822","1,375",0,"18,197",가액변동 
,,,,,,,
본인 ,답 ,"경상북도 의성군 봉양면 문흥리 241-4번지 1,322.00m² ","17,186","1,454",0,"18,640",가액변동 
,,,,,,,
본인 ,과수원 ,경상북도 의성군 봉양면 문흥리 240번지 846.00m² ,"13,451","1,100",0,"14,551",가액변동 
,,,,,,,
본인 ,답 ,경상북도 의성군 봉양면 문흥리 232-9번지 552.00m² ,"9,163",938,0,"10,101",가액변동 
,,,,,,,
본인 ,답 ,경상북도 의성군 봉양면 문흥리 220-4번지 91.00m² ,"1,292",109,0,"1,401",가액변동 
,,,,,,,
본인 ,답 ,경상북도 의성군 봉양면 문흥리 220-3번지 145.00m² ,"2,160",218,0,"2,378",가액변동 
,,,,,,,
본인 ,답 ,경상북도 의성군 봉양면 문흥리 219-1번지 188.00m² ,"2,801",282,0,"3,083",가액변동 
,,,,,,,
본인 ,답 ,경상북도 의성군 봉양면 문흥리 219번지 403.00m² ,"6,004",605,0,"6,609",가액변동 
,,,,,,,
본인 ,답 ,경상북도 의성군 봉양면 문흥리 206-3번지 112.00m² ,"1,556",146,0,"1,702",가액변동 
,,,,,,,
본인 ,전 ,경상북도 의성군 봉양면 문흥리 120-1번지 255.00m² ,"2,626",383,0,"3,009",가액변동 
,,,,,,,
본인 ,하천 ,경상북도 의성군 봉양면 문흥리 245-2번지 949.00m² ,"11,577",949,0,"12,526",가액변동 
,,,,,,,
본인 ,대지 ,경상북도 의성군 봉양면 문흥리 120-2번지 570.00m² ,"5,700","2,052",0,"7,752",가액변동 
,,,,,,,
본인 ,임야 ,경상북도 의성군 봉양면 문흥리 565번지 159.00m² ,113,16,0,129,가액변동 
,,,,,,,
본인 ,임야 ,경상북도 의성군 봉양면 문흥리 산 36-1번지 315.00m² ,227,25,0,252,가액변동 
,,,,,,,
본인 ,대지 ,경상북도 의성군 봉양면 문흥리 120-17번지 67.00m² ,"1,319",74,0,"1,393",가액변동 
,,,,,,,
본인 ,대지 ,경상북도 의성군 봉양면 문흥리 120-9번지 89.00m² ,"1,219",267,0,"1,486",가액변동 
,,,,,,,
본인 ,대지 ,경상북도 의성군 봉양면 문흥리 120-20번지 66.00m² ,420,13,0,433,가액변동 
,,,,,,,
본인 ,답 ,경상북도 의성군 봉양면 분토리 1014-2번지 162.00m² ,"2,170",81,0,"2,251",가액변동 
,,,,,,,
본인 ,임야 ,"경상북도 의성군 봉양면 분토리 산 132번지 62,678.00m² ","34,786","3,322",0,"38,108",가액변동 
,,,,,,,
본인 ,도로 ,경상북도 의성군 봉양면 문흥리 124-3번지 231.00m² ,"1,386",76,0,"1,462",가액변동 
,,,,,,,
본인 ,도로 ,경상북도 의성군 봉양면 문흥리 120-13번지 710.00m² ,"4,425",236,0,"4,661",가액변동 
,,,,,,,
▶ 건물(소계) ,"162,164","179,332","25,000","316,496",,,
,,,,,,,
본인 ,기타 ,"경상북도 의성군 봉양면 문흥리 대지 1,600.00m² 건물 495.00m² ","18,951","1,649",0,"20,600",가액변동 
,,,,,,,
본인 ,기타 ,경상북도 의성군 봉양면 문흥리 대지 685.00m² 건물 195.00m² ,"11,876","1,007",0,"12,883",가액변동 
,,,,,,,
본인 ,기타 ,경상북도 의성군 봉양면 문흥리 대지 341.00m² 건물 196.20m² ,"9,000","8,392",0,"17,392",가액변동 
,,,,,,,
본인 ,기타 ,경상북도 의성군 봉양면 문흥리 대지 859.00m² 건물 5.00m² ,"9,337","1,284",0,"10,621",가액변동 
,,,,,,,
본인 ,아파트 전세(임차)권 ,경상북도 구미시 구평동 부영아파트 건물 45.89m² (건물 45.89m² 증가) ,- ,"10,000",0,"10,000",신규 계약 
,,,,,,,
본인 ,근린생활시설 전세(임차)권 ,경상북도 구미시 진평동 건물 87.20m² (건물 87.20m² 증가) ,- ,"10,000",0,"10,000",신규 계약 
,,,,,,,
배우자 ,아파트 ,경상북도 의성군 의성읍 중리리 의성청구제네스2단지 건물 84.77m² ,"88,000",0,0,"88,000",가액변동없음 
,,,,,,,
배우자 ,사무실 전세(임차)권 ,경북 의성군 의성읍 건물 148.76m² (건물 148.76m² 증가) ,- ,"7,000",0,"7,000",신규 계약 
,,,,,,,
장남 ,다가구주택 전세(임차)권 ,서울특별시 관악구 신림동 건물 0.00m² (건물 653.39m² 감소) ,"25,000",0,"25,000",0,계약 해지 
,,,,,,,
장남 ,복합건물(주 택+상가) 전세(임차)권 ,서울특별시 동작구 신대방동 건물 63.54m² (건물 63.54m² 증가) ,- ,"140,000",0,"140,000",신규 계약 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"251,720","8,538","92,487","167,771",,,
,,,,,,,
본인 ,자동차 ,"2006년식 뉴아반떼 배기량(1,599cc) 감소 ","2,620",0,"2,620",0,폐차 
,,,,,,,
본인 ,자동차 ,"2003년식 포터초장축슈퍼캡 배기량(2,607cc) ","2,100",0,"1,367",733,가액변동 
,,,,,,,
배우자 ,기타 ,한우 ,"247,000",0,"88,500","158,500","개체수 감소, 가액변동 "
,,,,,,,
배우자 ,자동차 ,2018년식 모닝 배기량(998cc) 증가 ,0,"8,538",0,"8,538",신규구입 
,,,,,,,
▶ 예금(소계) ,"189,914","91,761","30,713","250,962",,,
,,,,,,,
본인 ,,"농협생명보험 17,078, 의성읍한우회영농조합법인 14,000, 미래에셋대우(주) 0(2 감소), 의성군산림조합 44(2 증가), 새마을금고 451(9 증가), 농협은행 25,604(21,776 증가), 농협손해보험 21,940(3,770 증가), 국민은행 915(275 증가), 농협중앙회 23,616(15,092 증가), 의성신협 23, 삼성화재해상보험 8,671(712 증가) ","70,708","47,910","6,276","112,342",급여저축 등 
,,,,,,,
배우자 ,,"에이비엘생명보험 13,323(717 증가), 대신증권 0(13,099 감소), DB손해보험(주) 1,150(600 증가), 새마을금고중앙회 공제사업부 18,976(3,926 증가), 삼성화재해상보험 23,732(2,400 증가), 메리츠화재해상보험 3,879(878 증가), KB증권 32, 국민은행 10,858(2,856 증가), 삼성생명보험 11,188, 농협중앙회 43,006(21,913 증가), AIA생명보험 6,758(1,308 증가), 신용협동조합중앙회 2,599(903 증가), 농협은행 304(304 증가) ","113,099","43,807","21,101","135,805",
,,,,,,,
장남 ,,"신한은행 0(16 감소), 메리츠화재해상보험 42(42 증가), 농협중앙회 1,175(792 감소), 국민은행 0(11 감소), 농협은행 1,372(2,232 감소) ","5,598",42,"3,051","2,589",
,,,,,,,
차남 ,,"미래에셋대우(주) 2(2 증가), 농협은행 222(277 감소), 우리은행 1, 신한은행 1(8 감소) ",509,2,285,226,
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"99,060",0,"55,720","43,340",,,
,,,,,,,
본인 ,,"농협은행 43,340(55,720 감소) ","99,060",0,"55,720","43,340",정치자금 지출 등 
,,,,,,,
▶ 유가증권(소계) ,"50,089",0,"50,089",0,,,
,,,,,,,
본인 ,상장주식 ,"에이스테크 0주(10,119주 감소) ","50,089",0,"50,089",0,전량매도 
,,,,,,,
▶ 채무(소계) ,"110,844","81,575","108,684","83,735",,,
,,,,,,,
본인 ,금융기관채무 ,"농협은행 0(103,000 감소), 농협중앙회 2,160(5,684 감소), KB캐피탈 27,515(27,515 증가) ","110,844","27,515","108,684","29,675",급여로 상환 
,,,,,,,
배우자 ,금융기관채무 ,"국민은행 54,060(54,060 증가) ",0,"54,060",0,"54,060",급여로 상환 
,,,,,,,
총계 ,"863,713","219,961","145,325","938,349","증감액:74,636천원 (가액변동: -55,630천원) ",,
,,,,,,,
