소속 ,국회 ,직위 ,국회의원 ,성명 ,강창일 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"4,012",610,0,"4,622",,,
,,,,,,,
본인 ,임야 ,제주특별자치도 북제주군 한경면 낙천리 890번지 321.00m² ,"4,012",610,0,"4,622",가액변동 
,,,,,,,
▶ 건물(소계) ,"1,507,832","9,007",0,"1,516,839",,,
,,,,,,,
본인 ,아파트 ,서울특별시 강남구 수서동 한아름아파트 건물 97.63m² ,"840,000",0,0,"840,000",
,,,,,,,
본인 ,상가 ,제주특별자치도 북제주군 한경면 고산리 건물 0.00m² (건물 0.00m² 감소) ,0,0,0,0,
,,,,,,,
본인 ,상가 ,제주특별자치도 제주시 한경면 고산리 대지 50.00m² 건물 36.30m² ,"20,482","4,283",0,"24,765",가액변동 
,,,,,,,
본인 ,상가 ,제주특별자치도 북제주군 한경면 고산리 제1호 건물 0.00m² (건물 0.00m² 감소) ,0,0,0,0,
,,,,,,,
본인 ,상가 ,제주특별자치도 제주시 한경면 고산리 상가 대지 53.00m² 건물 99.16m² ,"27,350","4,724",0,"32,074",가액변동 
,,,,,,,
본인 ,사무실 전세(임차)권 ,제주특별자치도 제주시 노형동 (3층) 건물 129.48m² ,"10,000",0,0,"10,000",
,,,,,,,
본인 ,아파트 전세(임차)권 ,서울특별시 송파구 오금동 현대아파트 건물 157.00m² ,"600,000",0,0,"600,000",
,,,,,,,
배우자 ,아파트 전세(임차)권 ,제주특별자치도 제주시 노형동 부영아파트 건물 80.66m² ,"10,000",0,0,"10,000",
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"2,510",0,400,"2,110",,,
,,,,,,,
본인 ,자동차 ,"2004년식 뉴그랜저 배기량(2,493cc) ","2,510",0,400,"2,110",가액변동 
,,,,,,,
▶ 현금(소계) ,"30,000",0,0,"30,000",,,
,,,,,,,
본인 ,,현금 ,"30,000",0,0,"30,000",
,,,,,,,
▶ 예금(소계) ,"842,857","502,904","542,250","803,511",,,
,,,,,,,
본인 ,,"제주은행 551, 삼성생명보험 29,914, 신한은행 12, 제주중앙신협 12, 우체국 211,357(33,438 감소), 농협은행 1,920(1,523 감소), 국민은행 218,772(7,802 증가) ","489,697","205,821","232,980","462,538",생활비지출등 
,,,,,,,
배우자 ,,"(주)KEB하나은행 1, 국민은행 80,829(69,478 감소), KB증권 101,008(42 증가), 우체국 94,592(92,000 증가), 신한은행 58,199(35,403 감소), AIA생명보험 6,265(665 증가), 우리은행 79(13 감소) ","353,160","297,083","309,270","340,973",생활비지출등 
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"52,747","7,024",0,"59,771",,,
,,,,,,,
본인 ,,"농협중앙회 59,771(7,024 증가) ","52,747","7,024",0,"59,771",후원금 증가 
,,,,,,,
▶ 채무(소계) ,"551,799",0,"1,299","550,500",,,
,,,,,,,
본인 ,금융기관채무 ,"현대캐피탈 0(1,299 감소) ","1,299",0,"1,299",0,리스료 상환 
,,,,,,,
본인 ,건물임대채무 ,제주특별자치도 북제주군 한경면 고산리 임대보증금 ,500,0,0,500,
,,,,,,,
본인 ,건물임대채무 ,서울특별시 강남구 수서동 한아름아파트 임대보증금 ,"550,000",0,0,"550,000",
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,"369,602",0,"369,602",0,,,
,,,,,,,
장남 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
장녀 ,,등록제외 ,"369,602",0,"369,602",0,혼인 
,,,,,,,
총계 ,"2,257,761","519,545","910,953","1,866,353","증 감 액 : -391,408천원 (가액변동: 9,217천원) ",,
,,,,,,,
