소속 ,국회 ,직위 ,국회의원 ,성명 ,김현아 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"1,406,243","83,745",0,"1,489,988",,,
,,,,,,,
본인 ,아파트 ,서울특별시 강남구 청담동 건물 110.18m² 중 55.09m² ,"576,000","32,000",0,"608,000",가액변동 
,,,,,,,
본인 ,복합건물(주 택+상가) ,"서울특별시 서초구 잠원동 대지 10,133.10m² 중 6.74m² 건물 331.64m² 중 14.40m² ","41,566","3,868",0,"45,434",가액변동 
,,,,,,,
배우자 ,아파트 ,서울특별시 강남구 청담동 건물 110.18m² 중 55.09m² ,"576,000","32,000",0,"608,000",가액변동 
,,,,,,,
배우자 ,오피스텔 ,부산광역시 중구 중앙동5가 북항라움 오피스텔 대지 4.46m² 건물 28.51m² ,"63,111","2,009",0,"65,120",가액변동 
,,,,,,,
배우자 ,아파트 ,부산광역시 금정구 부곡동 부곡동SK아파트 건물 30.79m² ,"88,000","10,000",0,"98,000",가액변동 
,,,,,,,
배우자 ,복합건물(주 택+상가) ,"서울특별시 서초구 잠원동 대지 10,133.10m² 중 6.74m² 건물 331.64m² 중 14.40m² ","41,566","3,868",0,"45,434",가액변동 
,,,,,,,
모 ,연립주택 전세(임차)권 ,서울특별시 서초구 잠원동 건물 179.68m² ,"20,000",0,0,"20,000",변동없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"18,550",0,"3,650","14,900",,,
,,,,,,,
배우자 ,자동차 ,"2014년식 골프 배기량(2,000cc) ","18,550",0,"3,650","14,900",가액변동 
,,,,,,,
▶ 예금(소계) ,"764,152","80,103","186,920","657,335",,,
,,,,,,,
본인 ,,"푸르덴셜생명보험 138,501(18,859 증가), 미래에셋대우(주) 263(120 증가), 현대해상화재보험 3,707(2,022 증가), 삼성생명보험 131,115(10,950 증가), 흥국생명보험 24,900, 우리은행 30, (주)KB손해보험 8,500(1,200 증가), 농협은행 16,308(7,862 증가), 신한금융투자(주) 6, 신한생명보험 30,560(2,054 증가), (주)KEB하나은행 19,044(706 증가), 국민은행 2, 한국카카오은행(주) 1,725(1,725 증가), 삼성화재해상보험 20,201(2,376 증가) ","346,988","49,895","2,021","394,862",채무상환으로 인한 예금감소 
,,,,,,,
배우자 ,,"(주)KEB하나은행 631, 한국교직원공제회 31,352(7,843 증가), 흥국생명보험 0(108,000 감소), 국민은행 111,813(24,400 감소), 우체국 5,868, 삼성생명보험 10,406(12,643 감소), 한화생명보험 13,000(2,892 감소), 신한금융투자(주) 410(31 증가), 교보생명보험 24,000 ","337,541","25,581","165,642","197,480",
,,,,,,,
모 ,,"국민은행 9, 신한은행 32,753(1,015 증가), 스탠다드차타드은행 6, 우리은행 12,457(1,393 감소), (주)KB손해보험 2,959(329 증가), 삼성생명보험 5,556 ","53,789","2,389","2,438","53,740",
,,,,,,,
차남 ,,"국민은행 0(8,122 감소), (주)KEB하나은행 11(10 증가), 신한은행 3,250(450 증가) ","10,923",460,"8,122","3,261",
,,,,,,,
장남 ,,"신한은행 6,450(900 증가), 한국카카오은행(주) 878(878 증가), 국민은행 0(6,024 감소), (주)KEB하나은행 664(2,673 감소) ","14,911","1,778","8,697","7,992",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"84,319","7,670",0,"91,989",,,
,,,,,,,
본인 ,,"농협은행 91,989(7,670 증가) ","84,319","7,670",0,"91,989",정치후원금으로 인한 예금 증가 
,,,,,,,
▶ 채권(소계) ,"120,000",0,0,"120,000",,,
,,,,,,,
본인 ,,사인간채권 ,"120,000",0,0,"120,000",변동없음 
,,,,,,,
▶ 채무(소계) ,"543,316","44,886","314,392","273,810",,,
,,,,,,,
본인 ,금융기관채무 ,"농협은행 117,156(44,886 증가) ","72,270","44,886",0,"117,156",생활비지출로인한채무증가 
,,,,,,,
배우자 ,금융기관채무 ,"국민은행 27,034(314,392 감소) ","341,426",0,"314,392","27,034",일부 상환 
,,,,,,,
모 ,,사인간채무 ,"120,000",0,0,"120,000",변동없음 
,,,,,,,
모 ,금융기관채무 ,"신한은행 4,200, (주)KB손해보험 510, 삼성생명보험 4,910 ","9,620",0,0,"9,620",변동없음 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
부 ,,고지거부 ,- ,- ,- ,- ,기타 
,,,,,,,
총계 ,"1,849,948","126,632","-123,822","2,100,402","증 감 액 : 250,454천원 (가액변동: 80,095천원) ",,
,,,,,,,
