소속 ,국회 ,직위 ,국회의원 ,성명 ,나경원 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"656,785","1,852","606,108","52,529",,,
,,,,,,,
배우자 ,임야 ,"경기도 성남시 분당구 대장동 산 63-1번지 18,876.00m² 중 2,314.06m² ","50,677","1,852",0,"52,529","가액변동, 공유(2314.06/18876지분) "
,,,,,,,
배우자 ,답 ,"경기도 성남시 수정구 금토동 140번지 0.00m² 중 0.00m² (총면적 1,025.00m² 감소, 지분면적 512.50m² 감소) ","58,937",0,"58,937",0,매도 
,,,,,"-150,000",,
,,,,,,,
배우자 ,답 ,"경기도 성남시 수정구 금토동 141번지 0.00m² 중 0.00m² (총면적 820.00m² 감소, 지분면적 410.00m² 감소) ","47,150",0,"47,150",0,매도 
,,,,,"-100,000",,
,,,,,,,
배우자 ,전 ,"경기도 성남시 수정구 금토동 143-1번지 0.00m² 중 0.00m² (총면적 2,992.00m² 감소, 지분면적 1,496.00m² 감소) ","414,691",0,"414,691",0,매도 
,,,,,"-1,000,000",,
,,,,,,,
배우자 ,전 ,"경기도 성남시 수정구 금토동 143-3번지 0.00m² 중 0.00m² (총면적 1,484.00m² 감소, 지분면적 742.00m² 감소) ","85,330",0,"85,330",0,매도 
,,,,,"-200,000",,
,,,,,,,
▶ 건물(소계) ,"3,689,264","767,222",0,"4,456,486",,,
,,,,,,,
본인 ,연립주택 ,서울특별시 중구 신당동 대지 105.59m² 중 52.80m² 건물 149.29m² 중 74.65m² ,"348,500","45,500",0,"394,000",공유(1/2지분) 
,,,,,,,
본인 ,복합건물(주 택+상가) 전세(임차)권 ,서울특별시 동작구 사당동 이수자이 건물 149.63m² ,"475,000","25,000",0,"500,000","임대차보증금 증가, 공유(1/2지분) "
,,,,,,,
본인 ,아파트 ,서울특별시 용산구 서빙고동 신동아아파트 건물 210.25m² 중 105.13m² ,"1,000,000",0,0,"1,000,000","매입, 공유(1/2지분) "
,,,,,,,
본인 ,근린생활시설 ,"서울특별시 서초구 서초동 대지 269.30m² 중 67.33m² 건물 705.57m² 중 176.39m² (대지 지분면적 67.33m² 증가, 건물 지분면적 176.39m² 증가) ",- ,"624,938",0,"624,938","법정상속, 공유(1/4지분) "
,,,,"-624,938",,,
,,,,,,,
배우자 ,상가 ,서울특별시 광진구 구의동 테크노마트21 대지 2.93m² 건물 11.07m² ,"42,264","1,284",0,"43,548",가액변동 
,,,,,,,
배우자 ,연립주택 ,서울특별시 중구 신당동 대지 105.59m² 중 52.80m² 건물 149.29m² 중 74.65m² ,"348,500","45,500",0,"394,000",공유(1/2지분) 
,,,,,,,
배우자 ,복합건물(주 택+상가) 전세(임차)권 ,서울특별시 동작구 사당동 이수자이 건물 149.63m² ,"475,000","25,000",0,"500,000","임대차보증금 증가, 공유(1/2지분) "
,,,,,,,
배우자 ,아파트 ,서울특별시 용산구 서빙고동 신동아아파트 건물 210.25m² 중 105.13m² ,"1,000,000",0,0,"1,000,000","매입, 공유(1/2지분) "
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"6,420",0,"1,070","5,350",,,
,,,,,,,
배우자 ,자동차 ,"2006년식 그랜저 TG 배기량(3,778cc) ","6,420",0,"1,070","5,350",가액변동 
,,,,,,,
▶ 예금(소계) ,"969,014","1,074,678","213,876","1,829,816",,,
,,,,,,,
본인 ,,"우리은행 212,700(21,636 증가), 삼성생명보험 23,000(2,400 증가), 신한은행 67,447(266 증가), 농협은행 1,507(1,287 증가), 신한금융투자(주) 453,493(35,737 증가), 사당 1,088(42 증가), 상도 1,067(28 증가), 남서울 3,600(800 증가), 삼성화재해상보험 698(598 증가), 메리츠종금증권 6(6 증가) ","701,806","245,050","182,250","764,606","본인 및 배우자 급여소득, 부동산매도금 "
,,,,,,,
배우자 ,,"(주)KEB하나은행 451(1 증가), 메리츠종금증권 8(8 증가), 신한은행 747,347(646,475 증가), 우체국 6,052(932 증가), 오렌지라이프생명보험 25,080(1,320 증가), 신한금융투자(주) 102,672(94,335 증가), 우리은행 1,560(1,560 증가) ","138,539","753,917","9,286","883,170",
,,,,,,,
장녀 ,,"(주)KEB하나은행 1,151(1 증가), 신한금융투자(주) 563(7 증가), 우리은행 26,725(3,256 증가), 신한은행 36,782(18,303 증가) ","43,654","23,274","1,707","65,221",
,,,,,,,
장남 ,,"신한은행 50,381(49,311 증가), 신한금융투자(주) 24,667 (19,652 감소), 우리은행 5,935, 국민은행 6, Bank of America 11,913(886 증가), 푸르덴셜생명보험 23,917(1,259 증가) ","85,015","52,437","20,633","116,819",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"38,334","84,723",0,"123,057",,,
,,,,,,,
본인 ,,"농협은행 123,057(84,723 증가) ","38,334","84,723",0,"123,057",후원금 기부에 따른 증가 
,,,,,,,
▶ 유가증권(소계) ,"3,500",0,0,"3,500",,,
,,,,,,,
본인 ,비상장주식 ,"오세오닷컴 3,500주 ","3,500",0,0,"3,500",변동없음 
,,,,,,,
▶ 채무(소계) ,"1,750,426","2,124,588","1,707,481","2,167,533",,,
,,,,,,,
본인 ,금융기관채무 ,"우리은행 200,000(200,000 증가), 농협은행 0(1,704 감소) ","1,704","200,000","1,704","200,000",상속채무 
,,,,,,,
본인 ,건물임대채무 ,서울특별시 서초구 서초동 임대보증금 증가 ,0,"38,750",0,"38,750",상속채무 
,,,,,,,
본인 ,건물임대채무 ,서울특별시 중구 신당동 남산현대빌라 임대보증금 증가 ,"450,000","475,000","450,000","475,000",임대차계약 체결 
,,,,,,,
본인 ,건물임대채무 ,서울특별시 용산구 서빙고동 신동아아파트 임대보증금 증가 ,"400,000","425,000","400,000","425,000",임대차계약 체결 
,,,,,,,
본인 ,기타 ,대한민국 증가 ,0,"85,838",0,"85,838",상속세 
,,,,,,,
배우자 ,금융기관채무 ,"신한은행 39,945(5,777 감소) ","45,722",0,"5,777","39,945",일부상환 
,,,,,,,
배우자 ,건물임대채무 ,서울특별시 중구 신당동 남산현대빌라 임대보증금 증가 ,"450,000","475,000","450,000","475,000",임대차계약 체결 
,,,,,,,
배우자 ,건물임대채무 ,서울특별시 용산구 서빙고동 신동아아파트 임대보증금 증가 ,"400,000","425,000","400,000","425,000",임대차계약 체결 
,,,,,,,
배우자 ,건물임대채무 ,서울특별시 광진구 구의동 테크노마트21 임대보증금 ,"3,000",0,0,"3,000",변동없음 
,,,,,,,
▶ 회원권(소계) ,"50,000",0,0,"50,000",,,
,,,,,,,
본인 ,헬스 ,서울클럽 ,"50,000",- ,- ,"50,000",변동없음 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
부 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
모 ,,등록제외 ,- ,- ,- ,- ,사망 
,,,,,,,
총계 ,"3,662,891","-196,113","-886,427","4,353,205","증 감 액 : 690,314천원 (가액변동: 93,066천원) ",,
,,,,,,,
