소속 ,국회 ,직위 ,국회의원 ,성명 ,남인순 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"700,000","30,000",0,"730,000",,,
,,,,,,,
본인 ,아파트 전세(임차)권 ,서울특별시 송파구 가락동 송파롯데캐슬파인힐 건물 180.67m² ,"700,000",- ,- ,"700,000",변동 없음 
,,,,,,,
배우자 ,오피스텔 전세(임차)권 ,인천광역시 남동구 구월동 구월아시아드더블루시티 건물 53.00m² (건물 53.00m² 증가) ,- ,"30,000",0,"30,000",급여로 임차 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"5,660",0,"2,647","3,013",,,
,,,,,,,
배우자 ,자동차 ,2011년식 모닝 배기량(999cc) ,"5,660",0,"2,647","3,013",가액 변동 
,,,,,,,
▶ 예금(소계) ,"152,423","59,073","19,324","192,172",,,
,,,,,,,
본인 ,,"송파중앙 20, 우리은행 1,632(2 증가), 신한은행 6,178 (3,676 증가), 삼성생명보험 3,592, 송파중앙 320(500 감소), 마천 6,056(4,306 증가), 농협은행 75,122(32,101 증가), 국민은행 280(20 증가), (주)KEB하나은행 311, 동양생명보험 27,015 (1,895 증가), 농협중앙회 23, 교보생명보험 30,217(1,119 증가), 삼성화재해상보험 18,179(4,039 증가), 새마을금고 중앙회 공제사업부 5,640(2,708 증가) ","125,219","54,850","5,484","174,585",급여저축및생활비지출등 
,,,,,,,
배우자 ,,"국민은행 63(11 증가), 신한은행 478(13,840 감소), 삼성생명보험 4,428, 농협은행 4,218(4,212 증가), 미래에셋생명보험 8,400 ","27,204","4,223","13,840","17,587",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"148,795","54,623",0,"203,418",,,
,,,,,,,
본인 ,,"농협은행 203,418(54,623 증가) ","148,795","54,623",0,"203,418",후원금 증가 
,,,,,,,
▶ 채무(소계) ,"437,000",0,"17,000","420,000",,,
,,,,,,,
본인 ,,사인간채무 ,"420,000",0,0,"420,000",변동 없음 
,,,,,,,
배우자 ,,사인간채무 감소 ,"17,000",0,"17,000",0,급여로 상환 
,,,,,,,
총계 ,"569,878","143,696","4,971","708,603","증 감 액 : 138,725천원 (가액변동: -2,647천원) ",,
,,,,,,,
