소속 ,국회 ,직위 ,국회의원 ,성명 ,노웅래 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"610,000","5,000",0,"615,000",,,
,,,,,,,
본인 ,근린생활시설 전세(임차)권 ,서울특별시 마포구 대흥동 건물 475.72m² 중 118.93m² ,"15,000","5,000",0,"20,000",국회의원 지역사무소 임대보증금 인상 
,,,,,,,
배우자 ,아파트 ,서울특별시 마포구 도화동 우성아파트 건물 128.32m² ,"595,000",0,0,"595,000",가액변동없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"30,830",0,"1,541","29,289",,,
,,,,,,,
배우자 ,자동차 ,"2015년식 싼타페 배기량(2,200cc) ","24,130",0,"1,206","22,924",감가상각 보험기준가액 변동 
,,,,,,,
장남 ,자동차 ,"2012년식 아반떼 배기량(1,600cc) ","6,700",0,335,"6,365",감가상각 보험기준가액 변동 
,,,,,,,
▶ 예금(소계) ,"260,405","326,077","24,602","561,880",,,
,,,,,,,
본인 ,,"하나금융투자 5, 중앙신협 150, 삼성증권 67, 신용협동조합중앙회 51(51 증가), 농협은행 90,067(29,105 증가), 신공덕동 111, 국민은행 15,208(203 증가), (주)KEB하나은행 1, 마포역 127(4 증가) ","76,424","32,113","2,750","105,787","모친의 신규 재산공개로 인한 예금액 증가,"
,,,,,,,본인과 배우자 수입으로 인한 예금액 증가 
,,,,,,,
배우자 ,,"한국교직원공제회 81,923(9,739 증가), 국민은행 71,568(25,474 증가), 현대해상화재보험 5,107(1,628 증가), 신공덕동 12, 삼성증권 25(3 감소), 교보생명보험 30,133(2,405 증가) ","149,525","49,885","10,642","188,768",
,,,,,,,
모 ,,"신한은행 240,981(240,981 증가) ",0,"240,981",0,"240,981",
,,,,,,,
장남 ,,"신한은행 16,400(9,270 감소), (주)오리온신협 688(246 증가), 국민은행 1, 우리은행 65(24 증가), 신공덕동 12, 새마을금고중앙회 공제사업부 2,182(627 증가), 키움닷컴증권 0(276 감소) ","27,997","2,397","11,046","19,348",
,,,,,,,
장녀 ,,"국민은행 6,881(536 증가), 농협중앙회 5, 농협은행 110(1 증가) ","6,459",701,164,"6,996",
,,,,,,,
▶ 유가증권(소계) ,"86,185",0,"77,940","8,245",,,
,,,,,,,
배우자 ,상장주식 ,"오리온홀딩스 215주, 카카오 0주(59주 감소), 오리온 0주(414주 감소), 삼성생명 56주 ","64,047",0,"55,802","8,245",증권 매각 
,,,,,,,
장남 ,상장주식 ,"상신전자 0주(15주 감소), 팜스웰바이오 0주(1,658주 감소), 쏠리드 0주(2,836주 감소) ","22,138",0,"22,138",0,
,,,,,,,
▶ 채무(소계) ,"310,036","119,412","60,612","368,836",,,
,,,,,,,
본인 ,금융기관채무 ,"현대캐피탈 3,382(6,750 감소) ","10,132",0,"6,750","3,382",일부상환 
,,,,,,,
배우자 ,금융기관채무 ,"사립학교교직원연금공단 59,722(4,834 증가), 국민은행 231,042(9,193 감소), 현대캐피탈 0(4,781 감소) ","299,904","44,722","53,862","290,764",일부상환 
,,,,,,,
장남 ,금융기관채무 ,"신한은행 74,690(74,690 증가) ",0,"74,690",0,"74,690",생활자금 용도 
,,,,,,,
총계 ,"677,384","211,665","43,471","845,578","증 감 액 : 168,194천원 (가액변동: -5,997천원) ",,
,,,,,,,
