소속 ,국회 ,직위 ,국회의원 ,성명 ,맹성규 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"746,000","395,000","496,000","645,000",,,
,,,,,,,
본인 ,복합건물(주 택+상가) ,인천광역시 중구 답동 대지 89.30m² 중 44.60m² 건물 293.37m² 중 146.60m² ,"125,000",0,0,"125,000",가액변동없음 
,,,,,,,
본인 ,아파트 전세(임차)권 ,인천광역시 남동구 구월동 구월아시아드선수촌센트럴자이 건물 101.93m² (건물 101.93m² 증가) ,- ,"375,000",0,"375,000",전세신규계약 
,,,,,,,
본인 ,근린생활시설 전세(임차)권 ,"인천광역시 남동구 구월동 선희빌딩 3,4층 건물 419.00m² 중 220.98m² (건물 총면적 419.00m² 증가, 지분면적 220.98m² 증가) ",- ,"20,000",0,"20,000",사무실 임차보증금 
,,,,,,,
배우자 ,아파트 ,경기도 부천시 원미구 중동 은하마을 대우아파트 건물 0.00m² (건물 164.76m² 감소) ,"396,000",0,"396,000",0,아파트 매매 
,,,,,"-565,500",,
,,,,,,,
배우자 ,복합건물(주 택+상가) ,인천광역시 중구 답동 대지 89.30m² 중 44.60m² 건물 293.37m² 중 146.60m² ,"125,000",0,0,"125,000",가액변동없음 
,,,,,,,
배우자 ,아파트 전세(임차)권 ,서울특별시 성동구 마장동 금호어울림아파트 건물 0.00m² (건물 84.00m² 감소) ,"100,000",0,"100,000",0,계약만료 
,,,,,"-100,000",,
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"11,140","32,340","2,950","40,530",,,
,,,,,,,
본인 ,자동차 ,"2010년식 AZERA 배기량(2,656cc) ","9,490",0,"1,300","8,190",가액변동 
,,,,,,,
본인 ,자동차 ,"2004년식 SM3 배기량(1,497cc) 감소 ","1,650",0,"1,650",0,폐차 
,,,,,,,
본인 ,자동차 ,"2018년식 올뉴K7 배기량(2,359cc) 증가 ",0,"32,340",0,"32,340",차량구매 
,,,,,,,
▶ 예금(소계) ,"73,365","996,389","5,717","1,064,037",,,
,,,,,,,
본인 ,,"우체국 4,614(55 증가), 농협은행 9,773(4,103 증가) ","10,229","4,158",0,"14,387",아파트 매매대금 및 주식평가액 변동과 주식전량매도 등으로 예금증가 
,,,,,,,
배우자 ,,"국민은행 997,039(984,779 증가), 우체국 10,690(725 증가), 삼성증권 0(2,416 감소), 롯데손해보험 1,241(317 증가), 한화생명보험 9,510(1,159 증가) ","33,916","986,980","2,416","1,018,480",
,,,,,,,
모 ,,"농협은행 3,904(248 증가), 우체국 6,864, 농협생명보험 12,468, 농협손해보험 4,300(600 증가) ","26,688","4,149","3,301","27,536",
,,,,,,,
장남 ,,"신한은행 2,749(694 증가) ","2,055",694,0,"2,749",
,,,,,,,
차남 ,,"국민은행 884(407 증가), 한국카카오은행(주) 1(1 증가) ",477,408,0,885,
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,0,"77,221",0,"77,221",,,
,,,,,,,
본인 ,,"농협중앙회 77,221(77,221 증가) ",0,"77,221",0,"77,221",정치자금 계좌추가 
,,,,,,,
▶ 유가증권(소계) ,"685,410",0,"685,410",0,,,
,,,,,,,
배우자 ,상장주식 ,"셀트리온 0주(3,100주 감소) ","685,410",0,"685,410",0,전량매도 
,,,,,,,
▶ 채무(소계) ,"112,000",0,"107,000","5,000",,,
,,,,,,,
본인 ,건물임대채무 ,인천광역시 중구 답동 임대보증금 감소 ,"100,000",0,"100,000",0,아파트매매 대금 등으로 상환 
,,,,,,,
모 ,금융기관채무 ,"우체국 5,000, 농협생명보험 0(7,000 감소) ","12,000",0,"7,000","5,000",일부상환 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,"101,408",0,"101,408",0,,,
,,,,,,,
부 ,,등록제외 ,"101,408",0,"101,408",0,사망 
,,,,,,,
총계 ,"1,505,323","1,500,950","1,184,485","1,821,788","증 감 액 : 316,465천원 (가액변동: -1,300천원) ",,
,,,,,,,
