소속 ,국회 ,직위 ,국회의원 ,성명 ,문진국 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"113,829",0,0,"113,829",,,
,,,,,,,
본인 ,임야 ,"경기도 오산시 금암동 산 42번지 4,412.00m² ","113,829",0,0,"113,829",가액변동 없음 
,,,,,,,
▶ 건물(소계) ,"517,000",0,0,"517,000",,,
,,,,,,,
본인 ,아파트 ,서울특별시 강서구 내발산동 우장산힐스테이트 건물 84.98m² ,"517,000",0,0,"517,000",가액변동 없음 
,,,,,,,
▶ 예금(소계) ,"246,379","97,904","142,158","202,125",,,
,,,,,,,
본인 ,,"미래에셋생명보험 13,512, 현대해상화재보험 2,100(2,100 증가), 삼성생명보험 77,500(9,738 증가), 신한은행 7, 우리은행 4(4 증가), 새마을금고 5,606(733 증가), 농협은행 26,087(115,532 감소), 국민은행 6,193(560 증가), (주)KEB하나은행 63,751(58,830 증가), 삼성화재해상보험 3,350(1,200 증가), 새마을금고중앙회 공제사업부 4,015(1,887 감소) ","246,379","97,904","142,158","202,125",급여저축및생활비지출등 
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"17,685","106,080",0,"123,765",,,
,,,,,,,
본인 ,,"농협은행 123,765(106,080 증가) ","17,685","106,080",0,"123,765",정치후원금 
,,,,,,,
▶ 채권(소계) ,"200,000","20,000","50,000","170,000",,,
,,,,,,,
본인 ,,사인간채권 감소 ,"200,000","20,000","50,000","170,000",채권금 일부 환수 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
장남 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"1,094,893","223,984","192,158","1,126,719","증감액:31,826천원 ",,
,,,,,,,
