소속 ,국회 ,직위 ,국회의원 ,성명 ,민경욱 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"1,976,000","295,000",0,"2,271,000",,,
,,,,,,,
본인 ,아파트 ,서울특별시 서초구 반포동 한신서래아파트 건물 147.67m² 중 73.83m² ,"444,000","96,000",0,"540,000",가액변동 (배우자와 공동소유) 
,,,,,,,
본인 ,아파트 ,서울특별시 서초구 반포동 한신서래아파트 건물 45.72m² 중 22.86m² ,"194,000","36,500",0,"230,500",가액변동 (배우자와 공동소유) 
,,,,,,,
배우자 ,아파트 ,서울특별시 서초구 반포동 한신서래아파트 건물 147.67m² 중 73.83m² ,"444,000","96,000",0,"540,000",가액변동 (배우자와 공동소유) 
,,,,,,,
배우자 ,아파트 ,서울특별시 서초구 반포동 한신서래아파트 건물 45.72m² 중 22.86m² ,"194,000","36,500",0,"230,500",가액변동 (배우자와 공동소유) 
,,,,,,,
배우자 ,아파트 전세(임차)권 ,인천광역시 연수구 송도동 송도해모로아파트 건물 152.46m² ,"400,000","30,000",0,"430,000",전세계약 연장 
,,,,,,,
배우자 ,아파트 전세(임차)권 ,인천광역시 연수구 송도동 송도해모로아파트 건물 84.96m² ,"300,000",0,0,"300,000",변동없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"17,000",0,"3,370","13,630",,,
,,,,,,,
배우자 ,자동차 ,"2016년식 티볼리 배기량(1,597cc) ","17,000",0,"3,370","13,630",가액변동 
,,,,,,,
▶ 예금(소계) ,"1,455,123","309,928","315,747","1,449,304",,,
,,,,,,,
본인 ,,"현대해상화재보험 18,468(1,218 증가), 신한은행 328,316 (47,475 증가), 흥국생명보험 18,000, 삼성증권 303,750 (25,070 감소), 농협은행 846(285 증가), 메트라이프생명보험 34,359(2,040 증가), 삼성화재해상보험 4,195(782 증가) ","681,204","68,518","41,788","707,934",가계지출 등 
,,,,,,,
배우자 ,,"미래에셋대우(주) 136,875(9,785 감소), 국민은행 238,719 (79,837 감소), 삼성생명보험 57,400(1,450 증가), 삼성증권 38,324(3,147 감소), 신한은행 41, (주)DB저축은행 2, 메트라이프생명보험 32,139(1,911 증가), 송도 35(35 증가), 신한생명보험 6,000(1,440 증가), 엔에이치저축은행(주) 6, 새마을금고 40,000(40,000 증가), 미래에셋생명보험 42,000 ","639,474","150,365","198,298","591,541",
,,,,,,,
모 ,,"송도 30(30 증가), (주)KEB하나은행 133,953(5,029 증가) ","128,924","78,999","73,940","133,983",
,,,,,,,
장남 ,,"신한은행 2,140(240 증가), 국민은행 11,038(11,028 증가) ","1,910","11,278",10,"13,178",
,,,,,,,
장녀 ,,"신한은행 2,668(943 감소) ","3,611",768,"1,711","2,668",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"87,762","69,432",0,"157,194",,,
,,,,,,,
본인 ,,"농협은행 157,194(69,432 증가) ","87,762","69,432",0,"157,194",후원금 모금에 따른 정치자금 잔액 증가 
,,,,,,,
▶ 유가증권(소계) ,"480,704",0,"80,272","400,432",,,
,,,,,,,
본인 ,상장주식 ,"티슈진 9,280주 ","480,704",0,"80,272","400,432",평가액변동 
,,,,,,,
▶ 채무(소계) ,"1,043,128","371,433","340,000","1,074,561",,,
,,,,,,,
본인 ,금융기관채무 ,"삼성증권 4,561(1,433 증가) ","3,128","1,433",0,"4,561",랩 수수료 
,,,,,,,
배우자 ,건물임대채무 ,서울특별시 서초구 반포4동 한신서래아파트 임대보증금 감소 ,"340,000",0,"340,000",0,전세계약 만료 
,,,,,,,
배우자 ,건물임대채무 ,서울특별시 서초구 반포동 한신서래아파트 2건 임대보증금 증가 ,"700,000","370,000",0,"1,070,000",신규전세계약 
,,,,,,,
총계 ,"2,973,461","302,927","59,389","3,216,999","증 감 액 : 243,538천원 (가액변동: 181,358천원) ",,
,,,,,,,
