소속 ,국회 ,직위 ,국회의원 ,성명 ,민병두 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"754,000","26,000",0,"780,000",,,
,,,,,,,
본인 ,아파트 ,서울특별시 동대문구 전농동 SK아파트 건물 114.30m² ,"324,000","26,000",0,"350,000",가액변동 
,,,,,,,
본인 ,연립주택 ,Yearling Terrace Rockville 건물 71.50m² ,"160,000",0,0,"160,000",
,,,,,,,
배우자 ,연립주택 ,Yearling Terrace Rockville 건물 71.50m² ,"160,000",0,0,"160,000",
,,,,,,,
배우자 ,오피스텔 ,서울특별시 성동구 도선동 신한넥스텔 대지 2.56m² 건물 19.63m² ,"110,000",0,0,"110,000",
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"16,380",0,"2,340","14,040",,,
,,,,,,,
본인 ,자동차 ,"2009년식 쏘울 배기량(1,591cc) ","5,770",0,820,"4,950",가액변동 
,,,,,,,
본인 ,자동차 ,2015년식 올뉴 모닝 1.0 배기량(998cc) ,"10,610",0,"1,520","9,090",가액변동 
,,,,,,,
▶ 예금(소계) ,"426,299","309,747","309,430","426,616",,,
,,,,,,,
본인 ,,"삼성생명보험 16,882(221 감소), 답십리 65,094(65,094 증가), 농협은행 251,027(70,004 감소), 국민은행 1,325(3,306 감소), 농협중앙회 8, (주)KEB하나은행 20, 오렌지라이프 생명보험 21,279(747 증가), 스탠다드차타드은행 134 ","363,459","287,354","295,044","355,769",급여저축및가계소비지출 
,,,,,,,
배우자 ,,"(주)KEB하나은행 1,762(64 감소), 국민은행 1,393(858 증가), 신한은행 1, 중소기업은행 17,200(11,000 증가), 오렌지라이프 생명보험 7,632(394 증가), 우리은행 3, 미래에셋생명보험 7,333(494 증가) ","22,642","13,266",584,"35,324",
,,,,,,,
장남 ,,"신한은행 2, 삼성생명보험 22,208(7,894 증가), 국민은행 4,900, (주)KEB하나은행 6,033(13,786 감소) ","39,035","7,894","13,786","33,143",
,,,,,,,
장녀 ,,"(주)KEB하나은행 179(16 감소), 중소기업은행 2,000(1,200 증가), 씨티은행 1, 한국카카오은행(주) 33(33 증가), 신한은행 167 ","1,163","1,233",16,"2,380",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"198,647","129,880",0,"328,527",,,
,,,,,,,
본인 ,,"(주)KEB하나은행 328,527(129,880 증가) ","198,647","129,880",0,"328,527",정치후원금 증가 
,,,,,,,
▶ 채무(소계) ,"34,200","30,000","34,200","30,000",,,
,,,,,,,
본인 ,금융기관채무 ,"ProvidentFunding 0(2,100 감소) ","2,100",0,"2,100",0,상환 
,,,,,,,
배우자 ,금융기관채무 ,"ProvidentFunding 0(2,100 감소) ","2,100",0,"2,100",0,상환 
,,,,,,,
배우자 ,건물임대채무 ,서울특별시 성동구 도선동 신한넥스텔 임대보증금 ,"30,000","30,000","30,000","30,000",임대차 계약만료 및 신규계약 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
모 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"1,361,126","435,627","277,570","1,519,183","증 감 액 : 158,057천원 (가액변동: 23,660천원) ",,
,,,,,,,
