소속 ,국회 ,직위 ,국회의원 ,성명 ,민홍철 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"1,571,000","282,000","40,000","1,813,000",,,
,,,,,,,
본인 ,아파트 ,서울특별시 강남구 역삼동 역삼래미안아파트 건물 59.73m² 중 59.74m² ,"320,000","80,000",0,"400,000",가액변동 
,,,,,,,
본인 ,아파트 ,경상남도 김해시 전하동 두산전하빌라4차 건물 74.70m² ,"76,000","2,000",0,"78,000",가액변동 
,,,,,,,
본인 ,근린생활시설 전세(임차)권 ,경상남도 김해시 삼계동 삼계위너스타운 건물 167.72m² ,"20,000",- ,- ,"20,000",
,,,,,,,
본인 ,아파트 전세(임차)권 ,경상남도 김해시 삼계동 화정마을 부영2차아파트 건물 84.98m² ,"205,000",0,"40,000","165,000",전세금 인하 
,,,,,,,
배우자 ,아파트 ,서울특별시 강남구 역삼동 역삼래미안아파트 건물 59.73m² 중 59.74m² ,"320,000","80,000",0,"400,000",가액변동 
,,,,,,,
배우자 ,아파트 전세(임차)권 ,서울특별시 영등포구 당산동5가 당산삼성래미안아파트 건물 97.27m² ,"630,000","120,000",0,"750,000",전세금 인상 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"77,000",0,"14,930","62,070",,,
,,,,,,,
본인 ,자동차 ,"2012년식 쏘나타 배기량(1,999cc) ","13,270",0,"1,200","12,070",가액변동 
,,,,,,,
본인 ,자동차 ,"2013년식 카니발R리무진 배기량(2,199cc) ","15,630",0,"2,050","13,580",가액변동 
,,,,,,,
본인 ,자동차 ,"2016년식 G80 배기량(3,300cc) ","48,100",0,"11,680","36,420",가액변동 
,,,,,,,
▶ 예금(소계) ,"306,257","112,004","92,213","326,048",,,
,,,,,,,
본인 ,,"우리은행 1,829(2 증가), 중소기업은행 36(1 증가), 삼성생명보험 6,312, 부산은행 100, 농협은행 9,081(27 증가), 국민은행 158 (1,455 감소), 농협중앙회 12,790(5,580 감소), 케이디비생명보험 11,301, 오렌지라이프생명보험 36,872, 교보생명보험 24,000 ","109,484",523,"7,528","102,479",급여저축 등 
,,,,,,,
배우자 ,,"하나금융투자 114(2 증가), 유안타증권 165(2 증가), 국민은행 6,320(1,200 증가), 부원 0(50,000 감소), 삼성생명보험 28,628(4,327 증가), 농협중앙회 60,453(37,611 증가), DB생명보험(주) 11,700(4,000 증가), 한화생명보험 7,500(3,600 증가), 부원 10,393(301 증가), 교보생명보험 22,680(1,260 증가) ","145,650","62,704","60,401","147,953",
,,,,,,,
차녀 ,,"국민은행 2(1,200 감소), 영등포제일 10,010(10,010 증가), (주)오케이저축은 30,000(9,000 증가), 우리은행 48(42 증가), 신한은행 4,649(12,773 감소), 부원 10,020(6,844 증가) ","42,806","29,629","17,706","54,729",
,,,,,,,
장남 ,,"신한은행 43(25 증가), 케이뱅크 0(35 감소), 웰컴저축은행 120(120 증가), 농협중앙회 16,000(10,000 증가), 수협은행 10(10 증가), 한국카카오은행(주) 9(9 증가), 한국투자증권 1(1 증가), 국민은행 2,215(1,165 증가), 우리은행 470(57 감소), 펀드온라인코리아 주식회사 759(558 증가), SK증권 0(486 감소), 미래에셋대우(주) 1,250(1,250 증가), 한화투자증권 10(10 증가) ","8,317","19,148","6,578","20,887",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"211,111",0,"8,999","202,112",,,
,,,,,,,
본인 ,,"농협중앙회 202,112(8,999 감소) ","211,111",0,"8,999","202,112",정치활동 지출 
,,,,,,,
▶ 채무(소계) ,"600,979",374,"32,439","568,914",,,
,,,,,,,
본인 ,금융기관채무 ,"현대캐피탈 7,286(10,495 감소), 부산은행 31,254(21,944 감소), 농협은행 30,000, 국민은행 374(374 증가) ","100,979",374,"32,439","68,914",급여 등으로 상환 
,,,,,,,
본인 ,건물임대채무 ,서울특별시 강남구 역삼동 역삼래미안아파트 임대보증금 ,"500,000",0,0,"500,000",
,,,,,,,
총계 ,"1,564,389","393,630","123,703","1,834,316","증 감 액 : 269,927천원 (가액변동: 147,070천원) ",,
,,,,,,,
