소속 ,국회 ,직위 ,국회의원 ,성명 ,박경미 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"99,755","2,538",0,"102,293",,,
,,,,,,,
배우자 ,임야 ,"충청남도 아산시 도고면 금산리 산 7-1번지 5,867.40m² ","55,094",587,0,"55,681",가액변동 
,,,,,,,
배우자 ,임야 ,"충청남도 아산시 도고면 금산리 121-3번지 1,950.30m² ","44,661","1,951",0,"46,612",가액변동 
,,,,,,,
▶ 건물(소계) ,"1,176,000","10,000","120,000","1,066,000",,,
,,,,,,,
본인 ,아파트 ,서울특별시 서초구 서초동 서초아트자이 건물 165.57m² 중 82.78m² ,"588,000",0,"60,000","528,000",가액변동 
,,,,,,,
본인 ,근린생활시설 전세(임차)권 ,"서울특별시 서초구 서초동 동산빌딩 건물 391.70m² 중 93.60m² (건물 총면적 391.70m² 증가, 지분면적 93.60m² 증가) ",- ,"10,000",0,"10,000",신규임차(18.08.05) 
,,,,,,,
배우자 ,아파트 ,서울특별시 서초구 서초동 서초아트자이 건물 165.57m² 중 82.78m² ,"588,000",0,"60,000","528,000",가액변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"30,859",0,"2,000","28,859",,,
,,,,,,,
배우자 ,자동차 ,"2016년식 제네시스(GENESIS) 배기량(3,342cc) ","30,859",0,"2,000","28,859",가액변동 
,,,,,,,
▶ 예금(소계) ,"1,294,129","104,954","180,558","1,218,525",,,
,,,,,,,
본인 ,,"푸르덴셜생명보험 21,000(3,600 증가), 삼성생명보험 42,969 (6,465 증가), 한국교직원공제회 30,388(4,549 감소), NH투자증권 0(38,580 감소), 삼성증권 491,183(30,289 감소), 농협은행 2,432 (553 증가), 메트라이프생명보험 19,525(1,190 증가), 한화생명보험 87,577(2,526 증가), 국민은행 116,525(3,803 증가) ","866,880","77,588","132,869","811,599",지역사무실 임차보증금 및 채권매입등 
,,,,,,,
배우자 ,,"(주)KEB하나은행 63,543(3,837 감소), DB손해보험(주) 932(932 증가), 온양 43(43 증가), 케이디비생명보험 36,458, 미래에셋 대우(주) 22, 국민은행 3,718(21,501 감소), 흥국화재해상 보험(주) 4,525(584 증가), 삼성증권 299(5 증가), 메트라이프 생명보험 48,381(2,767 증가), 씨티은행 436(130 증가), 한화생명 보험 123,377(12,638 증가), 우리은행 3,271(3,002 증가), 교보생명보험 21,456 ","311,698","25,997","31,234","306,461",
,,,,,,,
장남 ,,"삼성증권 93,829(7,902 감소), 신한은행 1,471(1,100 증가), 국민은행 5,160(8,192 감소), 농협은행 5(92 감소) ","115,551","1,369","16,455","100,465",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"99,779","47,648",0,"147,427",,,
,,,,,,,
본인 ,,"농협은행 147,427(47,648 증가) ","99,779","47,648",0,"147,427",후원금 증가 
,,,,,,,
▶ 유가증권(소계) ,"8,983","100,653",929,"108,707",,,
,,,,,,,
본인 ,상장주식 ,"현대중공업 0주(60주 감소), 현대로보틱스 9주, 현대건설기계 8주(4주 증가), 현대중공업 51주(7주 증가), 현대일렉트릭 8주(4주 증가) ","8,983","2,131",929,"10,185",회사채 매입 및 주식 (유/무상 입고로 인한) 평가액 변동 
,,,,,,,
본인 ,회사채 ,"기업은행 98,522주(98,522주 증가) ",0,"98,522",0,"98,522",
,,,,,,,
▶ 채무(소계) ,"121,000","112,121","21,432","211,689",,,
,,,,,,,
배우자 ,금융기관채무 ,"(주)KEB하나은행 24,186(12,339 증가), 사립학교교직원연금공단 49,782(48,224 증가), 씨티은행 87,721(19,874 감소), 새마을금고 50,000(50,000 증가) ","121,000","112,121","21,432","211,689","일부 상환 후 재대출, 가계자금 및생활비지출증가 "
,,,,,,,
▶ 지식재산권 ,,,,,,,
,,,,,,,
본인 ,저작재산권 ,"수학교육에서의 컴퓨터활용, 수학교육과정과 교재연구(경문사) (소득금액: 1,560천원) ",- ,- ,- ,- ,인세 감소 
,,,,,,,
본인 ,저작재산권 ,"수학비타민플러스(김영사) (소득금액: 14,502천원) ",- ,- ,- ,- ,인세 감소 
,,,,,,,
본인 ,저작재산권 ,"박경미의 수학N, 박경미의 수학콘서트 플러스(동아시아) (소득금액: 8,940천원) ",- ,- ,- ,- ,인세 감소 
,,,,,,,
본인 ,저작재산권 ,"교과서 중학교 수학1, 수학2, 수학3 고등학교 수학I, 수학II, 미적분I, 미적분II, 확률과통계, 기하와벡터 외 15건 (동아출판) (소득금액: 14,112천원) ",- ,- ,- ,- ,인세 감소 
,,,,,,,
본인 ,저작재산권 ,수학교육학신론(도서출판 문음사) (소득금액: 435천원) ,- ,- ,- ,- ,인세 감소 
,,,,,,,
총계 ,"2,588,505","153,672","282,055","2,460,122","증 감 액 : -128,383천원 (가액변동: -119,777천원) ",,
,,,,,,,
