소속 ,국회 ,직위 ,국회의원 ,성명 ,강효상 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"1,449,000","699,000",0,"2,148,000",,,
,,,,,,,
본인 ,아파트 ,서울특별시 서초구 서초동 삼풍아파트 건물 130.73m² 중 65.36m² ,"456,000","124,000",0,"580,000",공시지가 변동 
,,,,,,,
본인 ,아파트 ,서울특별시 강남구 개포동 주공아파트 1단지 건물 35.64m² 중 17.82m² ,"268,500","58,000",0,"326,500",공시지가 변동 
,,,,,,,
본인 ,상가 ,"서울특별시 서초구 서초동 진흥상가 건물 10.81m² 중 5.56m² (건물 총면적 10.81m² 증가, 지분면적 5.56m² 증가) ",- ,"162,500",0,"162,500",신규 매입 
,,,,"-162,500",,,
,,,,,,,
본인 ,아파트 전세(임차)권 ,대구광역시 달서구 감삼동 우방드림시티 건물 84.99m² (건물 84.99m² 증가) ,- ,"10,000",0,"10,000",지역거주 전세 
,,,,,,,
배우자 ,아파트 ,서울특별시 서초구 서초동 삼풍아파트 건물 65.36m² (건물 65.37m² 감소) ,"456,000","124,000",0,"580,000",공시지가 변동 
,,,,,,,
배우자 ,아파트 ,서울특별시 강남구 개포동 주공아파트 1단지 ,0,0,0,0,
,,,,,,,
배우자 ,아파트 ,서울특별시 강남구 개포동 주공아파트 1단지 건물 17.82m² (건물 17.82m² 감소) ,"268,500","58,000",0,"326,500",공시지가 변동 
,,,,,,,
배우자 ,상가 ,"서울특별시 서초구 서초동 진흥상가 건물 10.81m² 중 5.56m² (건물 총면적 10.81m² 증가, 지분면적 5.56m² 증가) ",- ,"162,500",0,"162,500",신규 매입 
,,,,"-162,500",,,
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"29,130",0,"8,130","21,000",,,
,,,,,,,
본인 ,자동차 ,"2016년식 그랜저 2.4 하이브리드 배기량(2,359cc) ","29,130",0,"8,130","21,000",차량가액변동 
,,,,,,,
▶ 예금(소계) ,"1,410,456","356,805","492,078","1,275,183",,,
,,,,,,,
본인 ,,"푸르덴셜생명보험 58,923(3,702 증가), KB저축은행 40,897, 중소기업은행 39,945(791 감소), 신한은행 6,888(45,907 감소), 삼성생명보험 116,193(24,054 증가), 흥국생명보험 60,000, 한화투자증권 37, (주)KEB하나은행 21,398(133 증가), 한국투자증권 215,649(88,987 감소), 교보생명보험 48,000(12,000 증가) ","703,726","113,145","208,941","607,930",
,,,,,,,
배우자 ,,"한국교직원공제회 93,915(10,128 증가), (주)KEB하나은행 376, 대신증권 20, (주)한국투자저축 16,000(16,000 증가), BNP파리바카디프생명보험 40,000, 미래에셋대우(주) 1 (63,533 감소), 한양증권 54, KB저축은행 47,500, 푸르덴셜 생명보험 0(21,373 감소), 국민은행 73, 삼성생명보험 28,200 (3,600 증가), 신한은행 187,351(2,603 증가), 삼성증권 7,172(2,022 감소), SK증권 2,277(819 증가), (주)민국저축은행 12,000(12,000 증가), 제이티친애저축은 47,000(47,000 증가), 신한금융투자(주) 26,638(1,782 감소), 신한생명보험 7,414(1,560 증가), 한화생명보험 5,976, SBI저축은행 41,230(15,960 증가), 엔에이치저축은행(주) 12,000(26,000 감소), 상호저축은행중앙회 0(81,000 감소), 교보생명보험 49,000(13,000 증가), OSB저축은행 24,000(24,000 증가) ","697,237","229,527","278,567","648,197",예금만기등으로인한변동 
,,,,,,,
장녀 ,,"푸르덴셜생명보험 786(786 증가), 현대해상화재보험 87(87 증가), 신한은행 14,189(6,729 증가) ","7,460","12,172","4,570","15,062",
,,,,,,,
장남 ,,"신한은행 782(774 증가), 현대해상화재보험 22(22 증가), (주)KEB하나은행 1,111(46 증가), 미국chase 1,813(853 증가), 푸르덴셜생명보험 266(266 증가) ","2,033","1,961",0,"3,994",
,,,,,,,
▶ 유가증권(소계) ,"251,096","2,984","239,639","14,441",,,
,,,,,,,
본인 ,회사채 ,"중앙일보30 0주(149,328주 감소) ","149,999",0,"149,999",0,주식및채권매도로인한변동 
,,,,,,,
배우자 ,상장주식 ,"KB금융지주 0주(1,271주 감소), 현대로보틱스보 0주(15주 감소), 미래에셋대우 360주, 현대중공업 70주, 현대건설기계보 0주(10주 감소), 현대일렉트릭보 20주(10주 증가), 한진칼 89주 ","101,097","2,984","89,640","14,441",
,,,,,,,
▶ 채무(소계) ,"55,000","2,000","55,000","2,000",,,
,,,,,,,
본인 ,건물임대채무 ,서울특별시 서초구 서초동 진흥상가 임대보증금 증가 ,0,"1,000",0,"1,000",임대차 보증금 
,,,,,,,
본인 ,건물임대채무 ,서울특별시 강남구 개포동 주공아파트 1단지 임대보증금 감소 ,"55,000",0,"55,000",0,전세금 상환 
,,,,,,,
배우자 ,건물임대채무 ,서울특별시 서초구 서초동 진흥상가 임대보증금 증가 ,0,"1,000",0,"1,000",임대차 보증금 
,,,,,,,
▶ 회원권(소계) ,"12,000",0,0,"12,000",,,
,,,,,,,
본인 ,헬스 ,(주)코리아나호텔휘트니스클럽K ,"12,000",- ,- ,"12,000",변동 없음 
,,,,,,,
총계 ,"3,096,682","1,056,789","684,847","3,468,624","증 감 액 : 371,942천원 (가액변동: 357,896천원) ",,
,,,,,,,
