소속 ,국회 ,직위 ,국회의원 ,성명 ,박광온 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"1,290,000","62,000",0,"1,352,000",,,
,,,,,,,
본인 ,아파트 ,서울특별시 강남구 도곡동 도곡한신아파트 건물 84.74m² ,"640,000","62,000",0,"702,000",가액변동 
,,,,,,,
본인 ,아파트 전세(임차)권 ,경기도 수원시 영통구 이의동 래미안광교아파트 건물 136.63m² ,"620,000",0,0,"620,000",변동없음 
,,,,,,,
본인 ,사무실 전세(임차)권 ,경기도 수원시 영통구 원천동 성민프라자 건물 200.33m² ,"30,000",0,0,"30,000",변동없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"22,650",0,"3,240","19,410",,,
,,,,,,,
본인 ,자동차 ,"2016년식 쏘렌토 배기량(1,995cc) ","11,325",0,"1,620","9,705",가액변동 
,,,,,,,
배우자 ,자동차 ,"2016년식 쏘렌토 배기량(1,995cc) ","11,325",0,"1,620","9,705",가액변동 
,,,,,,,
▶ 예금(소계) ,"325,400","10,633","25,749","310,284",,,
,,,,,,,
본인 ,,"중소기업은행 4,657(399 감소), 신한은행 41, 농협은행 1,775(10,762 감소), 한화생명보험 5,500, 국민은행 195(167 증가), 키움닷컴증권 208, (주)KEB하나은행 48, 농협중앙회 1 ","23,419",168,"11,162","12,425",급여저축및생활비지출등 
,,,,,,,
배우자 ,,"국민은행 1,304(1,260 증가), 중소기업은행 269,026(6,836 감소), 한국카카오은행(주) 23(23 증가), 우리은행 2,073(15 증가) ","277,964","6,731","12,269","272,426",
,,,,,,,
장녀 ,,"국민은행 0(11 감소), (주)KEB하나은행 1(1 증가), 케이뱅크 0(1 감소), 웰컴저축은행 4, 우리은행 0(13 감소), 한국카카오은행(주) 6(6 증가), 신한은행 2,137(1,064 감소), 수협은행 300(300 증가) ","3,230","1,244","2,026","2,448",
,,,,,,,
장남 ,,"중소기업은행 0(189 감소), 신한은행 83, 한국카카오은행(주) 1,290(1,290 증가), 우리은행 21,612(1,112 증가), 농협은행 0(15 감소) ","20,787","2,490",292,"22,985",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"107,003",0,"11,060","95,943",,,
,,,,,,,
본인 ,,"농협중앙회 95,943(11,060 감소) ","107,003",0,"11,060","95,943",정치자금 지출로 인한 감소 
,,,,,,,
▶ 채무(소계) ,"83,970","37,900","83,970","37,900",,,
,,,,,,,
본인 ,,사인간채무 증가 ,0,"12,900",0,"12,900",정치자금 계좌로 차입 
,,,,,,,
본인 ,금융기관채무 ,"농협은행 0(40,000 감소) ","40,000",0,"40,000",0,정치자금으로 전액 상환 
,,,,,,,
장녀 ,금융기관채무 ,"(주)KEB하나은행 25,000(25,000 증가), SBI저축은행 0(9,677 감소), 우리은행 0(4,655 감소), 신한은행 0(29,638 감소) ","43,970","25,000","43,970","25,000",급여 등으로 대출상환 및 신규대출 
,,,,,,,
총계 ,"1,661,083","34,733","-43,921","1,739,737","증감액:78,654천원 (가액변동: 58,760천원) ",,
,,,,,,,
