소속 ,국회 ,직위 ,국회의원 ,성명 ,박대출 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"765,000","114,000",0,"879,000",,,
,,,,,,,
본인 ,아파트 ,서울특별시 서초구 잠원동 잠원훼미리아파트 건물 84.90m² ,"675,000","114,000",0,"789,000",가액변동 
,,,,,,,
본인 ,아파트 전세(임차)권 ,경상남도 진주시 평거동 들말대경아파트 건물 59.60m² ,"70,000",- ,- ,"70,000",
,,,,,,,
본인 ,사무실 전세(임차)권 ,경상남도 진주시 인사동 2층 건물 42.00m² ,"20,000",- ,- ,"20,000",
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"27,380",0,"3,900","23,480",,,
,,,,,,,
본인 ,자동차 ,"2013년식 제네시스(GENESIS) 배기량(3,342cc) ","27,380",0,"3,900","23,480",가액변동 
,,,,,,,
▶ 예금(소계) ,"271,372","204,095","148,672","326,795",,,
,,,,,,,
본인 ,,"미래에셋대우(주) 142(1 증가), 반송 31(1 증가), 우리은행 60,009(53,194 감소), 신한은행 101,390(992 증가), 농협은행 26,232(1,597 증가), 대신증권 29, 농협중앙회 9,780(3 증가), 국민은행 252, (주)KEB하나은행 9 ","248,474","82,594","133,194","197,874",급여저축 등 
,,,,,,,
배우자 ,,"신한은행 100,672(93,977 증가), SK증권 33, 우리은행 26, 반송 31(1 증가) ","6,784","100,465","6,487","100,762",
,,,,,,,
장녀 ,,"(주)KEB하나은행 272, 신한은행 15,063(8,296 증가) ","7,039","13,296","5,000","15,335",
,,,,,,,
차녀 ,,"씨티은행 1, 신한은행 9,123(73 증가), (주)KEB하나은행 12, 우리은행 3,688(3,676 증가) ","9,075","7,740","3,991","12,824",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"79,839",0,"52,185","27,654",,,
,,,,,,,
본인 ,,"농협중앙회 27,654(52,185 감소) ","79,839",0,"52,185","27,654",의정활동비용 지출 
,,,,,,,
▶ 채무(소계) ,"70,000",0,0,"70,000",,,
,,,,,,,
본인 ,,사인간채무 ,"70,000",0,0,"70,000",
,,,,,,,
총계 ,"1,073,591","318,095","204,757","1,186,929","증 감 액 : 113,338천원 (가액변동: 110,100천원) ",,
,,,,,,,
