소속 ,국회 ,직위 ,국회의원 ,성명 ,박덕흠 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"21,993,492","518,747",0,"22,512,239",,,
,,,,,,,
본인 ,대지 ,서울특별시 송파구 잠실동 196-9번지 160.50m² ,"1,877,850","16,050",0,"1,893,900",가액변동 
,,,,,,,
본인 ,대지 ,서울특별시 송파구 잠실동 196-10번지 182.70m² ,"2,137,589","18,271",0,"2,155,860",가액변동 
,,,,,,,
본인 ,대지 ,서울특별시 송파구 잠실동 196-11번지 175.20m² 중 122.60m² ,"1,434,420","12,260",0,"1,446,680",가액변동 
,,,,,,,
본인 ,대지 ,서울특별시 송파구 잠실동 196-12번지 195.80m² 중 137.10m² ,"1,604,070","13,710",0,"1,617,780",가액변동 
,,,,,,,
본인 ,대지 ,서울특별시 송파구 잠실동 196-17번지 273.70m² 중 191.60m² ,"2,241,720","19,160",0,"2,260,880",가액변동 
,,,,,,,
본인 ,대지 ,서울특별시 송파구 잠실동 196-18번지 245.00m² 중 171.50m² ,"2,006,550","17,150",0,"2,023,700",가액변동 
,,,,,,,
본인 ,대지 ,서울특별시 송파구 잠실동 196-20번지 224.30m² 중 112.20m² ,"1,312,740","11,220",0,"1,323,960",가액변동 
,,,,,,,
본인 ,잡종지 ,"경기도 여주군 점동면 처리 595번지 1,650.00m² ","332,640","14,190",0,"346,830",가액변동 
,,,,,,,
배우자 ,대지 ,서울특별시 송파구 잠실동 196-11번지 175.20m² 중 52.60m² ,"615,420","5,260",0,"620,680",가액변동 
,,,,,,,
배우자 ,대지 ,서울특별시 송파구 잠실동 196-12번지 195.80m² 중 58.70m² ,"686,790","5,870",0,"692,660",가액변동 
,,,,,,,
배우자 ,대지 ,서울특별시 송파구 잠실동 196-17번지 273.70m² 중 82.10m² ,"960,569","8,210",0,"968,779",가액변동 
,,,,,,,
배우자 ,대지 ,서울특별시 송파구 잠실동 196-18번지 245.00m² 중 73.50m² ,"859,950","7,350",0,"867,300",가액변동 
,,,,,,,
배우자 ,대지 ,서울특별시 송파구 잠실동 196-19번지 255.70m² ,"2,991,690","25,570",0,"3,017,260",가액변동 
,,,,,,,
배우자 ,대지 ,서울특별시 송파구 잠실동 196-20번지 224.30m² 중 112.10m² ,"1,311,570","11,210",0,"1,322,780",가액변동 
,,,,,,,
배우자 ,대지 ,강원도 홍천군 북방면 원소리 538-2번지 274.00m² ,"12,384","1,343",0,"13,727",가액변동 
,,,,,,,
배우자 ,대지 ,강원도 홍천군 북방면 원소리 347번지 407.00m² ,"19,332","1,709",0,"21,041",가액변동 
,,,,,,,
배우자 ,전 ,강원도 홍천군 북방면 원소리 567번지 268.00m² ,"1,206",160,0,"1,366",가액변동 
,,,,,,,
배우자 ,전 ,강원도 홍천군 북방면 원소리 563번지 459.50m² ,"8,133","1,057",0,"9,190",가액변동 
,,,,,,,
배우자 ,전 ,강원도 홍천군 북방면 원소리 562번지 243.00m² ,"4,446",584,0,"5,030",가액변동 
,,,,,,,
배우자 ,전 ,"강원도 홍천군 북방면 원소리 538-1번지 2,561.00m² ","69,659","9,219",0,"78,878",가액변동 
,,,,,,,
배우자 ,전 ,강원도 홍천군 북방면 원소리 359-1번지 659.00m² ,"3,532","12,613",0,"16,145",가액변동 
,,,,,,,
배우자 ,전 ,강원도 홍천군 북방면 원소리 346번지 863.00m² ,"4,021","14,360",0,"18,381",가액변동 
,,,,,,,
배우자 ,전 ,"강원도 홍천군 북방면 원소리 344번지 3,375.00m² ","13,331","50,456",0,"63,787",가액변동 
,,,,,,,
배우자 ,전 ,"강원도 홍천군 북방면 원소리 338번지 26,866.00m² ","99,135","2,955",0,"102,090",가액변동 
,,,,,,,
배우자 ,전 ,"강원도 홍천군 북방면 원소리 337번지 1,302.00m² ","5,155",183,0,"5,338",가액변동 
,,,,,,,
배우자 ,전 ,"강원도 홍천군 북방면 원소리 336번지 1,570.00m² ","16,956","3,925",0,"20,881",가액변동 
,,,,,,,
배우자 ,전 ,"강원도 홍천군 북방면 원소리 333번지 2,926.00m² ","31,600","7,315",0,"38,915",가액변동 
,,,,,,,
배우자 ,전 ,"강원도 홍천군 북방면 원소리 331번지 1,517.00m² ","5,446",333,0,"5,779",가액변동 
,,,,,,,
배우자 ,전 ,"강원도 홍천군 북방면 원소리 309번지 2,294.00m² ","7,661",482,0,"8,143",가액변동 
,,,,,,,
배우자 ,전 ,"강원도 홍천군 북방면 원소리 307번지 1,769.00m² ","5,908",371,0,"6,279",가액변동 
,,,,,,,
배우자 ,전 ,"강원도 홍천군 북방면 원소리 298번지 1,055.00m² ","3,523",180,0,"3,703",가액변동 
,,,,,,,
배우자 ,전 ,"강원도 홍천군 북방면 원소리 296번지 1,213.00m² ","4,051",206,0,"4,257",가액변동 
,,,,,,,
배우자 ,전 ,"강원도 홍천군 북방면 구만리 86번지 4,515.00m² ","17,021",587,0,"17,608",가액변동 
,,,,,,,
배우자 ,전 ,"강원도 홍천군 북방면 구만리 84번지 1,402.00m² ","5,804",84,0,"5,888",가액변동 
,,,,,,,
배우자 ,전 ,"강원도 홍천군 북방면 구만리 66번지 1,557.00m² ","6,041","19,026",0,"25,067",가액변동 
,,,,,,,
배우자 ,전 ,강원도 홍천군 북방면 구만리 47번지 962.00m² ,"3,694",57,0,"3,751",가액변동 
,,,,,,,
배우자 ,전 ,"강원도 홍천군 북방면 구만리 40번지 1,719.00m² ","6,600",104,0,"6,704",가액변동 
,,,,,,,
배우자 ,전 ,강원도 홍천군 북방면 구만리 37번지 212.00m² ,814,12,0,826,가액변동 
,,,,,,,
배우자 ,전 ,"강원도 홍천군 북방면 구만리 36번지 2,767.00m² ","10,625",166,0,"10,791",가액변동 
,,,,,,,
배우자 ,전 ,"강원도 홍천군 북방면 구만리 33번지 1,967.00m² ","7,258",216,0,"7,474",가액변동 
,,,,,,,
배우자 ,전 ,강원도 홍천군 북방면 구만리 32번지 764.00m² ,"3,376",62,0,"3,438",가액변동 
,,,,,,,
배우자 ,전 ,"강원도 홍천군 북방면 구만리 13-1번지 1,312.00m² ","5,038",78,0,"5,116",가액변동 
,,,,,,,
배우자 ,전 ,강원도 홍천군 북방면 구만리 12번지 813.00m² ,"3,121",49,0,"3,170",가액변동 
,,,,,,,
배우자 ,답 ,강원도 홍천군 북방면 원소리 565번지 753.50m² ,"17,179","2,261",0,"19,440",가액변동 
,,,,,,,
배우자 ,답 ,강원도 홍천군 북방면 원소리 561번지 84.50m² ,"2,146",279,0,"2,425",가액변동 
,,,,,,,
배우자 ,답 ,"강원도 홍천군 북방면 원소리 551-2번지 1,355.00m² ","47,154","5,013",0,"52,167",가액변동 
,,,,,,,
배우자 ,답 ,강원도 홍천군 북방면 원소리 550-5번지 276.00m² ,"10,018","1,077",0,"11,095",가액변동 
,,,,,,,
배우자 ,답 ,"강원도 홍천군 북방면 원소리 550-1번지 1,322.00m² ","38,602","4,098",0,"42,700",가액변동 
,,,,,,,
배우자 ,답 ,"강원도 홍천군 북방면 원소리 343번지 6,717.00m² ","103,441","20,823",0,"124,264",가액변동 
,,,,,,,
배우자 ,답 ,"강원도 홍천군 북방면 원소리 341번지 1,104.00m² ","11,702","2,870",0,"14,572",가액변동 
,,,,,,,
배우자 ,답 ,"강원도 홍천군 북방면 원소리 335번지 3,124.00m² ","11,215",687,0,"11,902",가액변동 
,,,,,,,
배우자 ,답 ,"강원도 홍천군 북방면 원소리 334번지 2,648.00m² ","32,835","7,679",0,"40,514",가액변동 
,,,,,,,
배우자 ,답 ,"강원도 홍천군 북방면 원소리 329번지 2,423.00m² ","43,129","8,480",0,"51,609",가액변동 
,,,,,,,
배우자 ,답 ,"강원도 홍천군 북방면 원소리 310번지 1,395.00m² ","4,659",293,0,"4,952",가액변동 
,,,,,,,
배우자 ,답 ,"강원도 홍천군 북방면 원소리 308번지 1,620.00m² ","5,410",341,0,"5,751",가액변동 
,,,,,,,
배우자 ,답 ,"강원도 홍천군 북방면 원소리 299번지 2,066.00m² ","6,900",434,0,"7,334",가액변동 
,,,,,,,
배우자 ,답 ,"강원도 홍천군 북방면 구만리 85번지 5,600.00m² ","21,112",728,0,"21,840",가액변동 
,,,,,,,
배우자 ,답 ,"강원도 홍천군 북방면 구만리 82번지 3,157.00m² ","12,122",190,0,"12,312",가액변동 
,,,,,,,
배우자 ,답 ,"강원도 홍천군 북방면 구만리 65번지 4,750.00m² ","17,527","58,948",0,"76,475",가액변동 
,,,,,,,
배우자 ,답 ,"강원도 홍천군 북방면 구만리 46번지 2,783.00m² ","10,686",167,0,"10,853",가액변동 
,,,,,,,
배우자 ,답 ,"강원도 홍천군 북방면 구만리 42번지 4,774.00m² ","17,997",621,0,"18,618",가액변동 
,,,,,,,
배우자 ,답 ,강원도 홍천군 북방면 구만리 41번지 139.00m² ,533,9,0,542,가액변동 
,,,,,,,
배우자 ,답 ,강원도 홍천군 북방면 구만리 39번지 281.00m² ,"1,079",16,0,"1,095",가액변동 
,,,,,,,
배우자 ,답 ,"강원도 홍천군 북방면 구만리 34번지 1,289.00m² ","4,949",78,0,"5,027",가액변동 
,,,,,,,
