소속 ,국회 ,직위 ,국회의원 ,성명 ,박맹우 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"139,508","18,096",0,"157,604",,,
,,,,,,,
본인 ,대지 ,울산광역시 중구 다운동 802-2번지 188.50m² ,"139,508","18,096",0,"157,604",가액변동 
,,,,,,,
▶ 건물(소계) ,"350,000",0,0,"350,000",,,
,,,,,,,
본인 ,아파트 ,울산광역시 남구 삼산동 삼산현대아파트 건물 153.70m² ,"300,000",0,0,"300,000",변동없음 
,,,,,,,
본인 ,사무실 전세(임차)권 ,울산광역시 남구 달동 건물 210.94m² ,"50,000",0,0,"50,000",변동없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"18,602","38,148","14,142","42,608",,,
,,,,,,,
본인 ,자동차 ,"2007년식 그랜저 배기량(3,342cc) ","4,753",0,293,"4,460",가액변동 
,,,,,,,
본인 ,자동차 ,"2014년식 카니발 배기량(2,199cc) 감소 ","13,849",0,"13,849",0,매도 
,,,,,"-17,500",,
,,,,,,,
본인 ,자동차 ,"2018년식 카니발 배기량(2,199cc) 증가 ",0,"38,148",0,"38,148",신규매입 
,,,,"-38,148",,,
,,,,,,,
▶ 예금(소계) ,"233,327","40,013","17,874","255,466",,,
,,,,,,,
본인 ,,"현대해상화재보험 5,400(3,600 증가), 농협은행 4,986(5,114 감소), 오렌지라이프생명보험 42,000, 경남은행 5,451(2,609 증가), 중앙 109(3 증가) ","56,848","8,946","7,848","57,946","급여 저축, 보험금 납입 등으로 인한 증가 "
,,,,,,,
배우자 ,,"(주)KEB하나은행 1,528(726 감소), 케이디비생명보험 15,400 (2,400 증가), 현대해상화재보험 52,860(6,540 증가), 삼성화재 해상보험 40,964(5,588 증가), AIA생명보험 12,297, 한화손해 보험 4,822(748 증가), 남울산 53(1 증가), 우리은행 3,377(1,710 증가), 한화생명보험 16,304(2,425 증가), 농협은행 1, 교보생명 보험 18,066(5,972 감소), 농협생명보험 20,500(6,000 증가) ","167,458","26,496","7,782","186,172",
,,,,,,,
모 ,,"농협중앙회 2,800(2,169 증가) ",631,"2,169",0,"2,800",
,,,,,,,
차남 ,,"경찰공제회 871(620 증가), 중앙 0(2,000 감소), 농협은행 4, 삼성화재해상보험 287(203 증가), 신한은행 6,386(335 증가), 우리은행 1,000(1,000 증가) ","8,390","2,402","2,244","8,548",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"106,920","25,638",0,"132,558",,,
,,,,,,,
본인 ,,"농협은행 132,558(25,638 증가) ","106,920","25,638",0,"132,558",후원금 증가 
,,,,,,,
▶ 채무(소계) ,"100,203","21,659",163,"121,699",,,
,,,,,,,
본인 ,,사인간채무 ,"50,000",0,0,"50,000",
,,,,,,,
본인 ,금융기관채무 ,"현대캐피탈 21,659(21,659 증가), 경남은행 50,040(163 감소) ","50,203","21,659",163,"71,699",차량 할부대금 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
장남 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"748,154","100,236","31,853","816,537","증감액:68,383천원 (가액변동: 17,803천원) ",,
,,,,,,,
