소속 ,국회 ,직위 ,국회의원 ,성명 ,박명재 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"133,212","3,379","4,765","131,826",,,
,,,,,,,
본인 ,답 ,"경상북도 포항시 남구 장기면 금곡리 962번지 1,534.00m² ","25,157",767,0,"25,924",가액변동 
,,,,,,,
본인 ,답 ,경상북도 포항시 남구 장기면 마현리 175-2번지 142.00m² ,"2,513",71,0,"2,584",가액변동 
,,,,,,,
본인 ,전 ,경상북도 포항시 남구 장기면 읍내리 306번지 311.00m² ,"8,241",156,0,"8,397",가액변동 
,,,,,,,
본인 ,전 ,"경상북도 포항시 남구 장기면 읍내리 90-2번지 1,421.00m² ","52,292","1,563",0,"53,855",가액변동 
,,,,,,,
본인 ,전 ,경상북도 포항시 남구 장기면 읍내리 305번지 116.00m² (182.00m² 감소) ,"7,897",0,"4,765","3,132",가액변동 
,,,,,,,
본인 ,임야 ,"경상북도 포항시 남구 장기면 산서리 산 265번지 61,091.00m² ","31,400",611,0,"32,011",가액변동 
,,,,,,,
본인 ,임야 ,"경상북도 포항시 남구 장기면 읍내리 산 8번지 12,694.00m² 중 4,231.33m² ","5,712",211,0,"5,923",가액변동 
,,,,,,,
▶ 건물(소계) ,"747,000","55,000",0,"802,000",,,
,,,,,,,
본인 ,아파트 ,경기도 안양시 동안구 관양동 현대아파트 건물 147.11m² ,"424,000","42,000",0,"466,000",가액변동 
,,,,,,,
본인 ,아파트 ,경기도 안양시 동안구 관양동 뉴골든아파트 건물 63.18m² ,"163,000","13,000",0,"176,000",가액변동 
,,,,,,,
본인 ,아파트 전세(임차)권 ,경상북도 포항시 남구 송도동 태왕아너스 건물 127.67m² ,"160,000",0,0,"160,000",변동없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"15,790",0,"1,950","13,840",,,
,,,,,,,
배우자 ,자동차 ,"2010년식 제너시스 배기량(3,778cc) ","15,790",0,"1,950","13,840",가액변동 
,,,,,,,
▶ 예금(소계) ,"1,663,817","554,984","562,296","1,656,505",,,
,,,,,,,
본인 ,,"미래에셋대우(주) 6,434(289 증가), 농협은행 899,318(1,285 감소), 유안타증권 9, 송도동 3,003(3 증가), 한화생명보험 48,215(15,362 감소), 국민은행 4,088(41 증가), 경상북도청 110(1 증가), 농협중앙회 8 ","977,498","54,933","71,246","961,185",급여저축및생활비지출등 
,,,,,,,
배우자 ,,"(주)KEB하나은행 28,077(229 감소), (주)한국투자저축 47,800(47,800 증가), 국민은행 6,651(69 증가), 신한은행 469,565(8,276 증가), 농협중앙회 48,298(20 증가), 한화손해보험 9,676(1,273 증가), 씨티은행 12,432(2,971 감소), 한화생명보험 46,817(2,563 증가), 상호저축은행중앙회 0(47,800 감소), 교보생명보험 26,004 ","686,319","500,051","491,050","695,320",급여저축및생활비지출등 
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"19,600",0,"14,451","5,149",,,
,,,,,,,
본인 ,,"농협은행 5,149(14,451 감소) ","19,600",0,"14,451","5,149",정치자금 지출 등 
,,,,,,,
▶ 채무(소계) ,"192,825","81,047","2,825","271,047",,,
,,,,,,,
본인 ,금융기관채무 ,"현대캐피탈 0(2,825 감소), 비엔케이캐피탈(주) 81,047(81,047 증가) ","2,825","81,047","2,825","81,047",신규계약에 따른 증가 
,,,,,,,
본인 ,건물임대채무 ,경기도 안양시 동안구 관양동 뉴골든아파트 임대보증금 ,"190,000",0,0,"190,000",변동없음 
,,,,,,,
▶ 회원권(소계) ,"85,000",0,0,"85,000",,,
,,,,,,,
본인 ,골프 ,기흥CC ,"85,000",- ,- ,"85,000",변동없음 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
장남 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
차남 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
손녀1 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"2,471,594","532,316","580,637","2,423,273","증 감 액 : -48,321천원 (가액변동: 56,429천원) ",,
,,,,,,,
