소속 ,국회 ,직위 ,국회의원 ,성명 ,박범계 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"18,450",615,0,"19,065",,,
,,,,,,,
본인 ,대지 ,충청북도 영동군 심천면 약목리 616-4번지 615.00m² ,"18,450",615,0,"19,065",가액변동 
,,,,,,,
▶ 건물(소계) ,"897,785","96,188",0,"993,973",,,
,,,,,,,
본인 ,오피스텔 전세(임차)권 ,서울특별시 영등포구 당산동5가 데시아루브 건물 61.36m² 중 28.24m² ,"10,000",0,0,"10,000",변동없음 
,,,,,,,
본인 ,근린생활시설 전세(임차)권 ,"대전광역시 서구 월평동 한미빌딩 건물 1,524.73m² 중 99.17m² ","50,000",0,0,"50,000",변동없음 
,,,,,,,
배우자 ,아파트 전세(임차)권 ,대전광역시 서구 둔산동 크로바아파트 건물 114.63m² ,"380,000","30,000",0,"410,000",임대보증금 증가 
,,,,,,,
배우자 ,단독주택 ,대구광역시 중구 동인동4가 대지 95.60m² 건물 80.50m² ,"97,900","18,100",0,"116,000",가액변동 
,,,,,,,
배우자 ,복합건물(주 택+상가) ,대구광역시 중구 동인동4가 상가 대지 311.00m² 건물 261.92m² ,"359,885","48,088",0,"407,973",가액변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"12,320",0,"1,560","10,760",,,
,,,,,,,
본인 ,자동차 ,"2010년식 카니발 배기량(2,199cc) ","12,320",0,"1,560","10,760",가액변동 
,,,,,,,
▶ 예금(소계) ,"25,842","21,686","3,329","44,199",,,
,,,,,,,
본인 ,,"대전온누리신협 50, 미래에셋생명보험 7,669(2,557 증가), 신한은행 118, 중소기업은행 100, 대전영화신협 400(400 증가), 농협은행 1,813(2,129 감소), 대전영화교회신협 73(1,198 감소), (주)KB손해보험 14,154(3,305 증가), 둔산신협 1,100(1,000 증가), 대전중앙신협 110(3 증가), 둔산신협11,대전온누리신협 550(500증가),국민은행 1,527(1,150 증가), 대전중앙신협 50, 한우리신협 12 ","22,149","8,917","3,329","27,737",보험료및적금만기등증가 
,,,,,,,
배우자 ,,"(주)KEB하나은행 13,471(12,768 증가), 한우리신협 12, 신한은행 14, 우리은행 11, 농협은행 128(1 증가), 한화생명보험 2,826 ","3,693","12,769",0,"16,462",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"313,423","55,024",0,"368,447",,,
,,,,,,,
본인 ,,"(주)KEB하나은행 368,447(55,024 증가) ","313,423","55,024",0,"368,447",후원금 증가 
,,,,,,,
▶ 채무(소계) ,"126,046","12,485",0,"138,531",,,
,,,,,,,
본인 ,금융기관채무 ,"(주)KEB하나은행 118,531(12,485 증가) ","106,046","12,485",0,"118,531",생활비등을위한대출등 
,,,,,,,
배우자 ,건물임대채무 ,대구광역시 중구 동인동4가 임대보증금 ,"20,000",0,0,"20,000",변동없음 
,,,,,,,
▶ 합명.합자.유한회사 출자지분(소계) ,"10,000",0,0,"10,000",,,
,,,,,,,
본인 ,출자 ,"법무법인명경, 출자가액: 10,000천원, 지분비율: 7.143%, 연간매출액: 1,189,500천원(113,853천원 증가) ","10,000",0,0,"10,000",변동없음 
,,,,,,,
총계 ,"1,151,774","161,028","4,889","1,307,913","증 감 액 : 156,139천원 (가액변동: 65,243천원) ",,
,,,,,,,
