소속 ,국회 ,직위 ,국회의원 ,성명 ,박병석 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"448,164","19,988",0,"468,152",,,
,,,,,,,
본인 ,임야 ,"충청북도 제천시 봉양읍 연박리 산 176번지 44,826.00m² ","40,208","2,959",0,"43,167",가액변동 
,,,,,,,
본인 ,임야 ,"충청북도 제천시 봉양읍 연박리 산 184-1번지 114,545.00m² ","96,217","6,758",0,"102,975",가액변동 
,,,,,,,
본인 ,임야 ,"충청북도 제천시 봉양읍 연박리 산 185번지 30,942.00m² ","28,776","1,609",0,"30,385",가액변동 
,,,,,,,
본인 ,대지 ,충청북도 제천시 봉양읍 원박리 500번지 264.00m² ,"7,735","1,505",0,"9,240",가액변동 
,,,,,,,
본인 ,대지 ,충청북도 제천시 봉양읍 원박리 500-1번지 37.00m² ,"1,084",211,0,"1,295",가액변동 
,,,,,,,
본인 ,대지 ,충청북도 제천시 봉양읍 원박리 515번지 142.00m² ,"4,160",810,0,"4,970",가액변동 
,,,,,,,
본인 ,전 ,대전광역시 서구 관저동 1962-11번지 306.80m² ,"269,984","6,136",0,"276,120",가액변동 
,,,,,,,
▶ 건물(소계) ,"3,318,965","469,574",230,"3,788,309",,,
,,,,,,,
본인 ,사무실 전세(임차)권 ,대전광역시 서구 도마2동 2층 건물 0.00m² (건물 0.00m² 감소) ,0,0,0,0,
,,,,,,,
본인 ,사무실 전세(임차)권 ,대전광역시 서구 도마동 2층 건물 132.00m² ,"30,000",0,0,"30,000",행정구역변경 
,,,,,,,
본인 ,아파트 ,서울특별시 서초구 반포동 반포아파트 건물 196.80m² ,"2,240,000","464,000",0,"2,704,000",가액변동 
,,,,,,,
본인 ,창고 ,대전광역시 동구 중동 대지 317.40m² 건물 56.30m² ,"218,037",0,230,"217,807",가액변동 
,,,,,,,
본인 ,상가 ,"대전광역시 동구 중동 35-10, 47-13, 47-17 대지 842.40m² 건물 155.80m² ","709,928","3,574",0,"713,502",가액변동 
,,,,,,,
본인 ,아파트 ,대전광역시 서구 정림동 강변들 보람아파트 건물 84.93m² ,"121,000","2,000",0,"123,000",가액변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"56,150",0,"9,920","46,230",,,
,,,,,,,
본인 ,자동차 ,"2006년식 그랜저 배기량(3,342cc) ","7,270",0,"1,230","6,040",가액변동 
,,,,,,,
본인 ,자동차 ,"2015년식 에쿠스 배기량(3,778cc) ","48,880",0,"8,690","40,190",가액변동 
,,,,,,,
▶ 예금(소계) ,"251,009","31,926","39,493","243,442",,,
,,,,,,,
본인 ,,"미래에셋생명보험 37,510(1,360 증가), 대전푸른신협 60(1 증가), 농협은행 7,000(7,000 증가), 국민은행 31,527(9,533 증가), (주)KEB하나은행 12,516(29,561 감소), 한밭 40(1 증가) ","100,319","19,893","31,559","88,653",금융기관 채무상환 
,,,,,,,
배우자 ,,"스탠다드차타드은행 9, KB생명보험 89,000(12,000 증가), 국민은행 65,727(7,934 감소), 메리츠종금증권 33(33 증가), 신한은행 20 ","150,690","12,033","7,934","154,789",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"90,546",0,"4,348","86,198",,,
,,,,,,,
본인 ,,"우체국 86,198(4,348 감소) ","90,546",0,"4,348","86,198",정치자금 감소 
,,,,,,,
▶ 채무(소계) ,"73,000",0,"30,000","43,000",,,
,,,,,,,
본인 ,금융기관채무 ,"농협은행 0(30,000 감소) ","30,000",0,"30,000",0,전액상환 
,,,,,,,
본인 ,건물임대채무 ,대전광역시 동구 중동 임대보증금 ,"8,000",0,0,"8,000",변동없음 
,,,,,,,
본인 ,건물임대채무 ,"대전광역시 동구 중동 35-10, 47-13, 47-17 임대보증금 ","35,000",0,0,"35,000",변동없음 
,,,,,,,
▶ 회원권(소계) ,"18,000",0,0,"18,000",,,
,,,,,,,
본인 ,헬스 ,한화개발(주)프라자휘트니스클럽 ,"18,000",- ,- ,"18,000",변동없음 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
장남 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
차남 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"4,109,834","521,488","23,991","4,607,331","증 감 액 : 497,497천원 (가액변동: 479,412천원) ",,
,,,,,,,
