소속 ,국회 ,직위 ,국회의원 ,성명 ,박선숙 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"583,000","150,000","5,000","728,000",,,
,,,,,,,
본인 ,아파트 ,서울특별시 서초구 우면동 서초힐스 건물 84.96m² ,"583,000",0,"5,000","578,000",가액변동 
,,,,,,,
장남 ,오피스텔 전세(임차)권 ,서울특별시 강남구 역삼동 이스턴오피스텔 건물 23.00m² (건물 23.00m² 증가) ,- ,"150,000",0,"150,000","예금인출,대출,모로부터 3,500만원 증여 "
,,,,,,,
▶ 예금(소계) ,"331,208","191,217","168,217","354,208",,,
,,,,,,,
본인 ,,"신한은행 257,421(22,016 증가), 삼성생명보험 1,428, 농협은행 6,276(5,646 증가), DB손해보험(주) 18,581(2,228 증가), 한국카카오은행(주) 1,002(1,998 감소), 스탠다드차타드은행 0(847 감소) ","257,663","132,519","105,474","284,708",1.급여저축 2.전세금지급 3.예금재예치 
,,,,,,,
장남 ,,"신한은행 69,500(2,167 감소), (주)KEB하나은행 0(1,878 감소) ","73,545","58,698","62,743","69,500",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"9,759",0,"4,095","5,664",,,
,,,,,,,
본인 ,,"농협은행 5,664(4,095 감소) ","9,759",0,"4,095","5,664",잔액변동 
,,,,,,,
▶ 채권(소계) ,"29,500","20,000","9,500","40,000",,,
,,,,,,,
본인 ,,사인간채권 증가 ,"29,500","20,000","9,500","40,000",채권일부환수 및 신규채권증가 
,,,,,,,
▶ 채무(소계) ,0,"100,000",0,"100,000",,,
,,,,,,,
장남 ,금융기관채무 ,"신한은행 100,000(100,000 증가) ",0,"100,000",0,"100,000",전세자금대출 
,,,,,,,
총계 ,"953,467","261,217","186,812","1,027,872","증감액:74,405천원 (가액변동: -5,000천원) ",,
,,,,,,,
