소속 ,국회 ,직위 ,국회의원 ,성명 ,박성중 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"56,207","5,984",0,"62,191",,,
,,,,,,,
본인 ,전 ,"경상남도 남해군 서면 중현리 1165-2번지 2,161.00m² ","12,015","1,210",0,"13,225",가액변동 
,,,,,,,
본인 ,전 ,경상남도 남해군 서면 중현리 1166-1번지 493.00m² ,"2,208",212,0,"2,420",가액변동 
,,,,,,,
본인 ,답 ,"경상남도 남해군 서면 중현리 1509번지 2,284.00m² ","25,124","2,284",0,"27,408",가액변동 
,,,,,,,
본인 ,답 ,경상남도 남해군 서면 중현리 1507번지 549.00m² ,"6,039",549,0,"6,588",가액변동 
,,,,,,,
본인 ,임야 ,"경상남도 남해군 서면 중현리 산 169-5번지 2,182.00m² ","1,302",310,0,"1,612",가액변동 
,,,,,,,
본인 ,임야 ,경상남도 남해군 서면 중현리 1165-11번지 458.00m² ,213,51,0,264,가액변동 
,,,,,,,
본인 ,임야 ,"경상남도 남해군 서면 중현리 산 191-2번지 10,909.00m² ","4,014",949,0,"4,963",가액변동 
,,,,,,,
본인 ,도로 ,경상남도 남해군 서면 중현리 1507-1번지 10.00m² ,36,3,0,39,가액변동 
,,,,,,,
본인 ,도로 ,경상남도 남해군 서면 중현리 1509-1번지 84.00m² ,304,28,0,332,가액변동 
,,,,,,,
본인 ,도로 ,경상남도 남해군 서면 중현리 1509-2번지 25.00m² ,90,9,0,99,가액변동 
,,,,,,,
본인 ,묘지 ,경상남도 남해군 서면 중현리 1516번지 264.00m² ,"2,692",238,0,"2,930",가액변동 
,,,,,,,
모 ,답 ,경상남도 남해군 서면 중현리 1273-1번지 108.00m² ,"2,170",141,0,"2,311",가액변동 
,,,,,,,
▶ 건물(소계) ,"4,527,787","407,590",0,"4,935,377",,,
,,,,,,,
본인 ,기타 ,서울특별시 양천구 목동 목동신시가지아파트 대지 466.42m² 중 233.21m² 건물 366.18m² 중 183.09m² ,"1,324,074","80,687",0,"1,404,761",가액변동 
,,,,,,,
배우자 ,아파트 전세(임차)권 ,서울특별시 서초구 방배동 신동아럭스빌 건물 164.43m² ,"300,000","150,000",0,"450,000",전세금인상 
,,,,,,,
배우자 ,기타 ,서울특별시 양천구 목동 목동신시가지아파트 대지 466.42m² 중 233.21m² 건물 366.18m² 중 183.09m² ,"1,324,074","80,687",0,"1,404,761",가액변동 
,,,,,,,
배우자 ,단독주택 ,서울특별시 양천구 목동 대지 205.20m² 건물 154.38m² ,"419,000","26,000",0,"445,000",가액변동 
,,,,,,,
모 ,단독주택 ,경상남도 남해군 서면 중현리 대지 680.00m² 건물 154.39m² ,"60,900","3,200",0,"64,100",가액변동 
,,,,,,,
장녀 ,기타 ,서울특별시 양천구 목동 목동신시가지아파트 대지 387.38m² 중 193.69m² 건물 304.12m² 중 152.06m² ,"1,099,739","67,016",0,"1,166,755",가액변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"15,470","17,320",400,"32,390",,,
,,,,,,,
본인 ,자동차 ,"2011년식 그랜저 배기량(3,000cc) ","15,470",0,400,"15,070",가액변동 
,,,,,,,
배우자 ,자동차 ,"2013년식 e-카운티 배기량(3,000cc) 증가 ",0,"17,320",0,"17,320",배우자의 유치원 운영에 이용 되고있는미니버스차량추가 
,,,,,,,
▶ 예금(소계) ,"967,225","67,188","168,749","865,664",,,
,,,,,,,
본인 ,,"중소기업은행 349,795(50,584 감소), 우리은행 18,672(871 감소), NH투자증권 106, 서초중앙 51(1 증가) ","420,078","4,994","56,448","368,624",급여저축및생활비지출등 
,,,,,,,
배우자 ,,"DB손해보험(주) 6,600(2,400 증가), 스탠다드차타드은행 401,320(56,256 감소), 국민은행 3,836(3,829 증가), 중소기업은행 371(1 증가), 우리은행 0(62 감소), 교보생명보험 28,048(4,342 증가) ","485,921","30,100","75,846","440,175",
,,,,,,,
모 ,,"농협중앙회 31,304(3,809 증가), 우체국 1,968, 농협손해보험 2,100(600 증가) ","30,963","25,938","21,529","35,372",
,,,,,,,
장녀 ,,"(주)KEB하나은행 17,927(3,805 감소), 중소기업은행 330, 스탠다드차타드은행 42, 우리은행 7(5,622 감소), 흥국생명보험 3,186(656 증가), 신한은행 1(1 증가) ","30,263","6,156","14,926","21,493",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"198,119","60,675",0,"258,794",,,
,,,,,,,
본인 ,,"신한은행 258,794(60,675 증가) ","198,119","60,675",0,"258,794",후원금 증가 
,,,,,,,
▶ 채권(소계) ,"300,000",0,0,"300,000",,,
,,,,,,,
배우자 ,,사인간채권 ,"300,000",0,0,"300,000",변동없음 
,,,,,,,
▶ 채무(소계) ,"374,705","538,290","10,487","902,508",,,
,,,,,,,
본인 ,금융기관채무 ,"현대캐피탈 4,218(9,487 감소) ","13,705",0,"9,487","4,218",리스료 일부 상환 
,,,,,,,
배우자 ,금융기관채무 ,"스탠다드차타드은행 38,290(38,290 증가), 국민은행 500,000(500,000 증가) ",0,"538,290",0,"538,290",전세보증금 증액을 위한 대출 등 
,,,,,,,
배우자 ,건물임대채무 ,서울특별시 양천구 목동 임대보증금 ,"260,000",0,0,"260,000",변동없음 
,,,,,,,
모 ,금융기관채무 ,"농협중앙회 0(1,000 감소) ","1,000",0,"1,000",0,전액상환 
,,,,,,,
장녀 ,금융기관채무 ,"(주)KEB하나은행 100,000 ","100,000",0,0,"100,000",변동없음 
,,,,,,,
총계 ,"5,690,103","20,467","158,662","5,551,908","증 감 액 : -138,195천원 (가액변동: 263,174천원) ",,
,,,,,,,
