소속 ,국회 ,직위 ,국회의원 ,성명 ,박순자 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"697,619","32,391","295,396","434,614",,,
,,,,,,,
본인 ,대지 ,경기도 안산시 단원구 초지동 677-12번지 0.00m² (233.70m² 감소) ,"295,396",0,"295,396",0,18년도 토지로 신고했던 부분을 19년도 건물로 이기 
,,,,,,,
배우자 ,대지 ,경기도 안산시 단원구 신길동 343-1번지 139.00m² ,"83,525","8,423",0,"91,948",공시지가상승 
,,,,,,,
배우자 ,대지 ,경기도 안산시 단원구 신길동 343-2번지 99.00m² ,"59,489","5,999",0,"65,488",공시지가상승 
,,,,,,,
배우자 ,전 ,"경기도 안산시 단원구 신길동 344-2번지 1,689.00m² ","186,803","10,978",0,"197,781",공시지가상승 
,,,,,,,
배우자 ,전 ,경기도 안산시 단원구 신길동 443번지 377.00m² ,"65,032","6,711",0,"71,743",공시지가상승 
,,,,,,,
배우자 ,도로 ,경기도 안산시 단원구 신길동 338-5번지 215.00m² ,"7,374",280,0,"7,654",공시지가상승 
,,,,,,,
▶ 건물(소계) ,"703,523","370,293",0,"1,073,816",,,
,,,,,,,
본인 ,빌딩 전세(임차)권 ,경기도 안산시 단원구 고잔동 장은타워 건물 146.41m² ,"20,000",0,0,"20,000",변동없음 
,,,,,,,
본인 ,아파트 전세(임차)권 ,경기도 안산시 단원구 초지동 호수마을 건물 205.00m² ,"300,000",0,0,"300,000",변동없음 
,,,,,,,
본인 ,단독주택 ,"경기도 안산시 단원구 초지동 대지 233.70m² 건물 164.41m² (대지 233.70m² 증가, 건물 164.41m² 증가) ",- ,"359,000",0,"359,000",18년도 토지에 신고했던 부분을 19년도 건물로 이기신고함 
,,,,"-400,000",,,
,,,,,,,
배우자 ,근린생활시설 ,경기도 시흥시 정왕동 1층 대지 74.02m² 건물 113.28m² ,"167,523","1,293",0,"168,816",공시가격상승 
,,,,,,,
배우자 ,복합건물(주 택+상가) ,경기도 시흥시 정왕동 2층 대지 73.70m² 건물 112.65m² ,"118,800","5,503",0,"124,303",공시가격상승 
,,,,,,,
배우자 ,복합건물(주 택+상가) ,경기도 시흥시 정왕동 3층 대지 60.10m² 건물 92.05m² ,"97,200","4,497",0,"101,697",공시가격상승 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"23,870",0,"23,870",0,,,
,,,,,,,
본인 ,자동차 ,"2010년식 에쿠스 배기량(3,800cc) 감소 ","20,350",0,"20,350",0,매매 
,,,,,"-10,000",,
,,,,,,,
배우자 ,자동차 ,"2004년식 투싼(TUCSON) 배기량(1,991cc) 감소 ","3,520",0,"3,520",0,매매 
,,,,,"-2,000",,
,,,,,,,
▶ 예금(소계) ,"105,753","36,921","1,600","141,074",,,
,,,,,,,
본인 ,,"현대해상화재보험 1,600(1,200 증가), 중소기업은행 8,193(4,177 증가), 신한은행 378(378 증가), 우체국 3,554(970 증가), 한화손해보험 5,398(1,932 증가), 농협은행 12,900(9,670 증가), 한화생명보험 0(1,600 감소), 화랑신협 5,788(140 증가), (주)KEB하나은행 603, DB손해보험(주) 17,200(9,500 증가) ","29,247","27,967","1,600","55,614",급여저축 등 
,,,,,,,
배우자 ,,"단원신협 19, 케이디비생명보험 37,670(2,816 증가), KB증권 317(1 증가), 농협중앙회 32,062(6,115 증가), 농협은행 14,519(13 증가), 시흥제일 337(8 증가), 수협중앙회 536(1 증가) ","76,506","8,954",0,"85,460",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,806,0,780,26,,,
,,,,,,,
본인 ,,농협은행 26(780 감소) ,806,0,780,26,수입지출잔액변동 
,,,,,,,
▶ 채무(소계) ,"686,431","172,454","49,420","809,465",,,
,,,,,,,
본인 ,,사인간채무 증가 ,0,"165,000",0,"165,000",금융기관 채무변제 등 
,,,,,,,
본인 ,금융기관채무 ,"농협은행 266,687(39,420 감소) ","306,107",0,"39,420","266,687",채무변제 
,,,,,,,
배우자 ,금융기관채무 ,"농협중앙회 367,778(7,454 증가) ","360,324","7,454",0,"367,778",대출 
,,,,,,,
배우자 ,건물임대채무 ,경기도 시흥시 정왕동 1층 임대보증금 감소 ,"10,000",0,"10,000",0,임대료 정산 
,,,,,,,
배우자 ,토지임대채무 ,경기도 안산시 단원구 신길동 443번지 임대보증금 ,"10,000",0,0,"10,000",변동없음 
,,,,,,,
▶ 회원권(소계) ,"28,000",0,0,"28,000",,,
,,,,,,,
본인 ,콘도미니엄 ,(주)토비스 ,"28,000",- ,- ,"28,000",변동없음 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
장남 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"873,140","267,151","272,226","868,065","증감액:-5,075천원 (가액변동: 43,684천원) ",,
,,,,,,,
