소속 ,국회 ,직위 ,국회의장 ,성명 ,정세균 ,,
,,,,,,,
,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지 면적 등 권리의 명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"3,012,735","129,580",0,"3,142,315",,,
,,,,,,,
배우자 ,임야 ,"경상북도 포항시 북구 장성동 산 232번지 64,790.00m² ","3,012,735","129,580",0,"3,142,315",가액변동 
,,,,,,,
▶ 건물(소계) ,"1,396,881","341,221",0,"1,738,102",,,
,,,,,,,
본인 ,아파트 ,서울특별시 마포구 상수동 신구강변연가아파트 건물 152.30m² ,"746,000","54,000",0,"800,000",가액변동 
,,,,,,,
본인 ,빌딩 전세(임차)권 ,서울특별시 종로구 종로6가 금자탑빌딩 5층 건물 145.44m² ,"20,000",0,0,"20,000",
,,,,,,,
본인 ,아파트 전세(임차)권 ,서울특별시 종로구 숭인1동 종로센트레빌아파트 건물 0.00m² (건물 0.00m² 감소) ,0,0,0,0,
,,,,,,,
본인 ,아파트 전세(임차)권 ,[소재지 오기정정]서울특별시 종로구 사직동 광하문 풍림 스페이스본 건물 104.00m² (건물 24.00m² 감소) ,"400,000","280,000",0,"680,000",전세재계약 
,,,,,,,
배우자 ,오피스텔 ,서울특별시 마포구 상수동 동방리버하임 건물 106.50m² ,"230,881","7,221",0,"238,102",가액변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차 건설기계 선박 및 항공기(소계) ,"15,630",0,"1,880","13,750",,,
,,,,,,,
배우자 ,자동차 ,"2010년식 제네시스 배기량(3,342cc) ","15,630",0,"1,880","13,750",가액변동 
,,,,,,,
▶ 예금(소계) ,"141,991","27,008","90,468","78,531",,,
,,,,,,,
본인 ,,"삼성생명보험 1,185, 우리은행 645(645 증가), 농협은행 756(756 증가), 국민은행 5,601(2,598 감소), 농협중앙회 0(77,304 감소), (주)KEB하나은행 2,957(2,957 증가), 교보생명보험 60,000(18,251 증가) ","128,437","27,008","84,301","71,144",전세재계약으로 인한 예금 지출 
,,,,,,,
배우자 ,,"국민은행 7,387(6,167 감소) ","13,554",0,"6,167","7,387",
,,,,,,,
▶ 채무(소계) ,"524,807","175,154","100,000","599,961",,,
,,,,,,,
본인 ,,사인간채무 ,"424,807","100,000","100,000","424,807",전세보증금 인상분 재원조달을 위한 사인간채무 
,,,,,,,
본인 ,금융기관채무 ,"농협중앙회 75,154(75,154 증가) ",0,"75,154",0,"75,154",전세보증금 인상분 재원조달을 위한 금융기관채무 
,,,,,,,
배우자 ,,사인간채무 ,"80,000",0,0,"80,000",
,,,,,,,
배우자 ,건물임대채무 ,서울특별시 마포구 상수동 동방리버하임 임대보증금 ,"20,000",0,0,"20,000",
,,,,,,,
▶ 비영리법인에 출연한 재산 ,,,,,,,
,,,,,,,
본인 ,출연 ,"(사단법인)미래농촌연구회, 출연재산: 95,600천원, 보유직위: 이사장 ",- ,- ,- ,- ,
,,,,,,,
본인 ,출연 ,"(사)미래농촌연구회, 출연재산: 10,586천원, 보유직위: 이사장 ",- ,- ,- ,- ,
,,,,,,,
총계 ,"4,042,430","322,655","-7,652","4,372,737","증 감 액 : 330,307천원 (가액변동: 188,921천원) ",,
,,,,,,,
