소속 ,국회 ,직위 ,국회의원 ,성명 ,강훈식 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지 면적 등 권리의 명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"60,000","10,000","20,000","50,000",,,
,,,,,,,
본인 ,아파트 전세(임차)권 ,충청남도 아산시 배방읍 장재리 요진와이시티 건물 84.00m² ,"30,000",0,0,"30,000",변동없음 
,,,,,,,
본인 ,상가 전세(임차)권 ,"충청남도 아산시 배방읍 공수리 삼영프라자 건물 7,822.80m² 중 172.64m² ","10,000",0,0,"10,000",변동없음 
,,,,,,,
본인 ,오피스텔 전세(임차)권 ,서울특별시 마포구 신공덕동 메트로디오빌 건물 39.11m² (건물 39.11m² 증가) ,- ,"10,000",0,"10,000",신규 임차 
,,,,,,,
배우자 ,오피스텔 전세(임차)권 ,서울특별시 마포구 도화동 한화오벨리스크 오피스텔 건물 0.00m² (건물 27.50m² 감소) ,"20,000",0,"20,000",0,전세권 만료 
,,,,,"-20,000",,
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차 건설기계 선박 및 항공기(소계) ,"4,570",0,"4,570",0,,,
,,,,,,,
모 ,자동차 ,"2006년식 아반떼1.6(WT) 배기량(1,591cc) 감소 ","4,570",0,"4,570",0,매도 
,,,,,"-1,600",,
,,,,,,,
▶ 현금(소계) ,"29,000","20,000",0,"49,000",,,
,,,,,,,
본인 ,,현금 증가 ,- ,"20,000",0,"20,000",경조사(부친칠순) 준비금 
,,,,,,,
모 ,,현금 ,"29,000",- ,- ,"29,000",변동없음 
,,,,,,,
▶ 예금(소계) ,"189,619","11,744","85,041","116,322",,,
,,,,,,,
본인 ,,"전북은행 4, 우리은행 4,205(365 감소), 신한은행 28, 농협은행 15,407(53,247 감소), 씨티은행 378, 국민은행 15, 농협중앙회 10, (주)KEB하나은행 0(6 감소) ","73,665",1,"53,619","20,047","급여저축 및 채무 일부상환, 생활비지출 "
,,,,,,,
배우자 ,,"스탠다드차타드은행 290, KB증권 4(3 감소), 신한은행 49,904(10,312 감소), NH투자증권 1,210(154 증가), 우리은행 23,225(15,420 감소), ING(네덜란드)생명보험 12,915(1,897 증가) ","111,232","7,433","31,117","87,548",
,,,,,,,
부 ,,"현대해상화재보험 1,582, 국민은행 1(1 증가), 정우 219(5 증가), 농협중앙회 135(135 증가), DB손해보험(주) 470(120 증가), 삼성화재해상보험 2,750(1,850 증가), 우리은행 1(1 증가) ","3,046","2,112",0,"5,158",
,,,,,,,
모 ,,"국민은행 0(305 감소), 정우 454(454 증가), 삼성화재해상보험 2,160(1,560 증가), 농협중앙회 88(88 증가), 우체국 1(1 증가), 정우 371(9 증가) ","1,267","2,112",305,"3,074",
,,,,,,,
장남 ,,"중소기업은행 78(78 증가), 농협중앙회 8(8 증가), 국민은행 409 ",409,86,0,495,
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"86,050","111,643",0,"197,693",,,
,,,,,,,
본인 ,,"농협은행 197,693(111,643 증가) ","86,050","111,643",0,"197,693",후원금 증가 
,,,,,,,
▶ 유가증권(소계) ,"19,783","4,410","1,969","22,224",,,
,,,,,,,
배우자 ,상장주식 ,"녹십자 16주, POSCO 15주, 투비소프트 268주(268주 증가), 매일방송 2,288주, 제주반도체 0주(474주 감소) ","19,783","4,410","1,969","22,224",평가액 변동 및 일부매매 
,,,,,,,
▶ 채무(소계) ,"179,769","4,915","47,449","137,235",,,
,,,,,,,
본인 ,금융기관채무 ,"중소기업은행 113,586(35,334 감소), 하나캐피탈 15,569(6,285 감소) ","170,774",0,"41,619","129,155","급여로 채무 일부상환, 차량리스잔액감소 "
,,,,,,,
모 ,금융기관채무 ,"삼성카드 3,165(5,830 감소), 현대캐피탈 4,915(4,915 증가) ","8,995","4,915","5,830","8,080",채무일부상환 및 생활비지출 등으로 인한 신규대출 
,,,,,,,
총계 ,"209,253","152,882","64,131","298,004","증 감 액 : 88,751천원 (가액변동: -2,341천원) ",,
,,,,,,,
