소속 ,국회 ,직위 ,국회의원 ,성명 ,권미혁 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지 면적 등 권리의 명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"114,647","7,827",0,"122,474",,,
,,,,,,,
배우자 ,전 ,충청남도 논산시 은진면 성덕리 249-2번지 42.00m² ,"1,234",38,0,"1,272",가액변동 
,,,,,,,
배우자 ,전 ,"충청남도 논산시 은진면 성덕리 527-3번지 3,422.00m² ","47,908","3,422",0,"51,330",가액변동 
,,,,,,,
배우자 ,전 ,"충청남도 논산시 은진면 성덕리 533-2번지 4,367.00m² ","65,505","4,367",0,"69,872",가액변동 
,,,,,,,
▶ 건물(소계) ,"140,000","200,000","140,000","200,000",,,
,,,,,,,
본인 ,아파트 ,충청남도 천안시 동남구 목천읍 신계리 신도브래뉴아파트2차 건물 0.00m² (건물 84.81m² 감소) ,"140,000",0,"140,000",0,매매 
,,,,,"-175,000",,
,,,,,,,
배우자 ,아파트 전세(임차)권 ,서울특별시 강서구 방화동 건물 84.96m² (건물 84.96m² 증가) ,- ,"200,000",0,"200,000",전세권계약 
,,,,"-200,000",,,
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차 건설기계 선박 및 항공기(소계) ,"14,530",0,"3,890","10,640",,,
,,,,,,,
본인 ,자동차 ,"2011년식 QM5 배기량(1,995cc) ","14,530",0,"3,890","10,640",가액변동 
,,,,,,,
▶ 예금(소계) ,"79,637","48,554","30,262","97,929",,,
,,,,,,,
본인 ,,"제주은행 5,000, 신한은행 5,183(2,702 감소), 농협은행 33,874(7,156 증가), 국민은행 2,010(1,165 증가), (주)KEB하나은행 0(602 감소), 교보생명보험 16,240(4,080 증가), ING(네덜란드)생명보험 22,360(3,120 증가) ","72,450","42,239","30,022","84,667",급여저축 및 연금저축보험 납입 
,,,,,,,
배우자 ,,"(주)KEB하나은행 1,700, 스탠다드차타드은행 10,848(6,075 증가), 국민은행 714 ","7,187","6,315",240,"13,262",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"3,254",0,"3,254",0,,,
,,,,,,,
본인 ,,"농협은행 0(3,254 감소) ","3,254",0,"3,254",0,예금항목이동 
,,,,,,,
▶ 채무(소계) ,"51,680",0,"51,680",0,,,
,,,,,,,
본인 ,금융기관채무 ,"농협은행 0(51,680 감소) ","51,680",0,"51,680",0,전액상환 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
모 ,,고지거부 ,- ,- ,- ,- ,타인부양 
,,,,,,,
총계 ,"300,388","256,381","125,726","431,043","증 감 액 : 130,655천원 (가액변동: 3,937천원) ",,
,,,,,,,
