소속 ,국회 ,직위 ,국회의원 ,성명 ,강길부 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지 면적 등 권리의 명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"1,445,118","30,765",0,"1,475,883",,,
,,,,,,,
본인 ,대지 ,서울특별시 송파구 석촌동 288-8번지 236.30m² ,"1,001,912","11,815",0,"1,013,727",가액변동 
,,,,,,,
본인 ,답 ,"울산광역시 울주군 상북면 향산리 136-1번지 1,583.00m² ","161,307","2,691",0,"163,998",가액변동 
,,,,,,,
본인 ,하천 ,울산광역시 울주군 상북면 향산리 136-2번지 493.00m² ,"19,029",296,0,"19,325",가액변동 
,,,,,,,
본인 ,전 ,울산광역시 울주군 상북면 향산리 246번지 631.00m² ,"66,633","12,178",0,"78,811",가액변동 
,,,,,,,
본인 ,답 ,"울산광역시 울주군 상북면 향산리 262번지 1,802.00m² ","196,237","3,785",0,"200,022",가액변동 
,,,,,,,
▶ 건물(소계) ,"3,069,489","957,000","657,089","3,369,400",,,
,,,,,,,
본인 ,사무실 전세(임차)권 ,울산광역시 울주군 범서읍 굴화리 인재빌딩 3층 건물 115.50m² ,"40,000",0,0,"40,000",변동없음 
,,,,,,,
본인 ,아파트 전세(임차)권 ,울산광역시 울주군 범서읍 구영리 구영푸르지오2차 건물 84.84m² ,"198,000","42,000",0,"240,000",전세금상승 
,,,,,,,
본인 ,상가 ,서울특별시 영등포구 당산동2가 대지 7.86m² 건물 27.20m² ,"70,489",0,"7,089","63,400",가액변동 
,,,,,,,
본인 ,아파트 ,서울특별시 서초구 반포동 아크로리버파크 아파트 건물 84.97m² ,"1,350,000","26,000",0,"1,376,000",가액변동 
,,,,,,,
본인 ,아파트 ,서울특별시 용산구 이촌동 LG 한강자이 아파트 건물 0.00m² (건물 66.39m² 감소) ,"650,000",0,"650,000",0,매매 
,,,,,"-960,000",,
,,,,,,,
배우자 ,단독주택 ,서울특별시 강남구 일원동 대지 198.20m² 건물 249.57m² ,"761,000","39,000",0,"800,000",가액변동 
,,,,,,,
배우자 ,아파트 ,서울특별시 강남구 개포동 개포시영아파트 건물 40.42m² (건물 40.42m² 증가) ,- ,"850,000",0,"850,000",매매 
,,,,"-850,000",,,
,,,,,,,
▶ 예금(소계) ,"48,650","17,564","23,980","42,234",,,
,,,,,,,
본인 ,,"신한은행 3,988(10,944 감소), 농협은행 2,504(119 감소), 범서농협 20, 국민은행 4,000, 농협중앙회 65, (주)KEB하나은행 5,211(5,211 증가) ","21,640","5,222","11,074","15,788",생활비 지출 
,,,,,,,
배우자 ,,"(주)KEB하나은행 5,670(5,670 증가), 범서농협 2,144(1,252 증가), 현대해상화재보험 7,600(2,400 증가), 국민은행 2,956(2,956 증가), 신한은행 8,076(12,842 감소) ","27,010","12,342","12,906","26,446",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"34,946","9,952",0,"44,898",,,
,,,,,,,
본인 ,,"농협은행 44,898(9,952 증가) ","34,946","9,952",0,"44,898",후원금 입금 
,,,,,,,
▶ 채무(소계) ,"1,163,000","1,076,451","700,000","1,539,451",,,
,,,,,,,
본인 ,금융기관채무 ,"(주)KEB하나은행 391,451(8,549 감소) ","400,000","391,451","400,000","391,451",일부상환 
,,,,,,,
본인 ,건물임대채무 ,서울특별시 영등포구 당산동2가 임대보증금 ,"5,000",0,0,"5,000",변동없음 
,,,,,,,
배우자 ,금융기관채무 ,"국민은행 375,000(375,000 증가) ",0,"375,000",0,"375,000","이주비, 일반대출 "
,,,,,,,
배우자 ,건물임대채무 ,서울특별시 강남구 일원동 임대보증금 증가 ,"758,000","310,000","300,000","768,000",계약자변경 
,,,,,,,
▶ 회원권(소계) ,"1,500",0,0,"1,500",,,
,,,,,,,
본인 ,콘도미니엄 ,코레스코콘도 ,"1,500",- ,- ,"1,500",변동없음 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
장남 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
차남 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
손자1 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
손자2 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
손녀1 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
손녀2 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"3,436,703","-61,170","-18,931","3,394,464","증 감 액 : -42,239천원 (가액변동: 88,676천원) ",,
,,,,,,,
