소속 ,국회 ,직위 ,국회의원 ,성명 ,강석진 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지 면적 등 권리의 명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"30,044","4,443",0,"34,487",,,
,,,,,,,
본인 ,대지 ,경상남도 거창군 가조면 사병리 102번지 370.00m² ,"7,955",592,0,"8,547",가액변동 
,,,,,,,
본인 ,전 ,경상남도 거창군 가조면 사병리 61-9번지 313.00m² ,"1,414",248,0,"1,662",가액변동 
,,,,,,,
본인 ,전 ,경상남도 거창군 가조면 사병리 61-8번지 449.00m² ,"2,029",355,0,"2,384",가액변동 
,,,,,,,
본인 ,전 ,"경상남도 거창군 가조면 사병리 61-5번지 1,249.00m² ","5,645",987,0,"6,632",가액변동 
,,,,,,,
본인 ,전 ,경상남도 거창군 가조면 사병리 61-4번지 519.00m² ,"2,345",410,0,"2,755",가액변동 
,,,,,,,
본인 ,전 ,"경상남도 거창군 가조면 사병리 61-3번지 2,304.00m² ","10,414","1,820",0,"12,234",가액변동 
,,,,,,,
본인 ,임야 ,경상남도 거창군 가조면 수월리 산 140-4번지 172.00m² ,242,31,0,273,가액변동 
,,,,,,,
▶ 건물(소계) ,"1,522,121","1,058,847","1,096,971","1,483,997",,,
,,,,,,,
본인 ,오피스텔 전세(임차)권 ,서울특별시 강서구 등촌동 강변샤르망 건물 63.16m² ,"20,000",0,0,"20,000",변동없음 
,,,,,,,
본인 ,아파트 ,"서울특별시 서초구 서초동 롯데캐슬클래식아파트 건물 0.00m² 중 0.00m² (건물 총면적 563.00m² 감소, 지분면적 240.36m² 감소) ","1,096,971",0,"1,096,971",0,건물 지분 변동으로 인한 수정신고 
,,,,,,,
본인 ,사무실 전세(임차)권 ,경상남도 거창군 거창읍 중앙리 애지안 2층 건물 636.44m² 중 161.10m² ,"3,000",0,0,"3,000",변동없음 
,,,,,,,
본인 ,아파트 ,"서울특별시 서초구 서초동 롯데캐슬클래식 건물 120.18m² 중 60.09m² (건물 총면적 120.18m² 증가, 지분면적 60.09m² 증가) ",- ,"488,000",0,"488,000",건물 지분 변동으로 인한 재등록 
,,,,"-488,000",,,
,,,,,,,
배우자 ,근린생활시설 ,경상남도 거창군 거창읍 상림리 대지 510.40m² 건물 333.36m² ,"402,150","82,847",0,"484,997",가액변동 
,,,,,,,
배우자 ,아파트 ,"서울특별시 서초구 서초동 롯데캐슬클래식 건물 120.18m² 중 60.09m² (건물 총면적 120.18m² 증가, 지분면적 60.09m² 증가) ",- ,"488,000",0,"488,000",건물 지분 변동으로 인한 재등록 
,,,,"-488,000",,,
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차 건설기계 선박 및 항공기(소계) ,"25,170",0,"4,080","21,090",,,
,,,,,,,
본인 ,자동차 ,"2010년식 체어맨W 배기량(3,598cc) ","25,170",0,"4,080","21,090",가액변동 
,,,,,,,
▶ 예금(소계) ,"40,373","28,001","16,840","51,534",,,
,,,,,,,
본인 ,,"우리은행 2, 농협은행 7,619(7,619 증가), 대신증권 6(6 증가), 국민은행 11,701(600 증가), 농협중앙회 115, 스탠다드차타드은행 1 ","11,219","8,225",0,"19,444",급여저축 및 생활비 지출 등 
,,,,,,,
배우자 ,,"국민은행 8,818(6,201 증가), 농협손해보험 4,980(720 증가), 신용협동조합중앙회 30 ","6,907","6,921",0,"13,828",
,,,,,,,
모 ,,"국민은행 5,227(2,469 증가), 농협중앙회 1, 상호저축은행중앙회 441(3 증가) ","3,197","2,472",0,"5,669",
,,,,,,,
장녀 ,,"국민은행 11,063(6,089 감소) ","17,152","10,120","16,209","11,063",
,,,,,,,
장남 ,,"신한은행 0(133 감소), 중소기업은행 42(498 감소), 농협중앙회 770(1 증가), 씨티은행 714(258 증가), 우리은행 4(4 증가) ","1,898",263,631,"1,530",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"15,997","24,231",250,"39,978",,,
,,,,,,,
본인 ,,"농협은행 39,978(23,981 증가) ","15,997","24,231",250,"39,978",정치자금 잔액 변동 
,,,,,,,
▶ 채무(소계) ,"1,161,121","1,050,165","1,112,640","1,098,646",,,
,,,,,,,
본인 ,금융기관채무 ,"국민은행 47,731(62,640 감소) ","110,371",0,"62,640","47,731",급여 등으로 일부 상환 
,,,,,,,
본인 ,건물임대채무 ,서울특별시 서초구 서초동 롯데캐슬클래식아파트 임대보증금 감소 ,"1,050,000",0,"1,050,000",0,건물 지분 변동으로 인한 수정신고 
,,,,,,,
본인 ,건물임대채무 ,서울특별시 서초구 서초동 롯데캐슬클래식 임대보증금 증가 ,0,"525,000",0,"525,000",건물 지분 변동으로 인한 재등록 
,,,,,,,
배우자 ,금융기관채무 ,농협중앙회 915(165 증가) ,750,165,0,915,채무 증가 
,,,,,,,
배우자 ,건물임대채무 ,서울특별시 서초구 서초동 롯데캐슬클래식 임대보증금 증가 ,0,"525,000",0,"525,000",건물 지분 변동으로 인한 재등록 
,,,,,,,
총계 ,"472,584","65,357","5,501","532,440","증 감 액 : 59,856천원 (가액변동: 83,210천원) ",,
,,,,,,,
