소속 ,국회 ,직위 ,국회의원 ,성명 ,강창일 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지 면적 등 권리의 명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"3,466",546,0,"4,012",,,
,,,,,,,
본인 ,임야 ,제주특별자치도 북제주군 한경면 낙천리 890번지 321.00m² ,"3,466",546,0,"4,012",가액변동 
,,,,,,,
▶ 건물(소계) ,"1,781,883","407,949","10,000","2,179,832",,,
,,,,,,,
본인 ,아파트 ,서울특별시 강남구 수서동 한아름아파트 건물 97.63m² ,"840,000",0,0,"840,000",가액변동없음 
,,,,,,,
본인 ,상가 ,제주특별자치도 북제주군 한경면 고산리 대지 50.00m² 건물 36.30m² ,"19,089","1,393",0,"20,482",가액변동 
,,,,,,,
본인 ,상가 ,제주특별자치도 북제주군 한경면 고산리 대지 53.00m² 건물 99.16m² ,"25,794","1,556",0,"27,350",가액변동 
,,,,,,,
본인 ,사무실 전세(임차)권 ,제주특별자치도 제주시 노형동 (3층) 건물 129.48m² ,"10,000",0,0,"10,000",변동없음 
,,,,,,,
본인 ,아파트 전세(임차)권 ,제주특별자치도 제주시 노형동 부영아파트 건물 0.00m² (건물 84.95m² 감소) ,"10,000",0,"10,000",0,계약만료 
,,,,,,,
본인 ,아파트 전세(임차)권 ,서울특별시 송파구 오금동 현대아파트 건물 157.00m² ,"500,000","100,000",0,"600,000",전세보증금 
,,,,,,,
배우자 ,아파트 전세(임차)권 ,제주특별자치도 제주시 노형동 부영아파트 건물 80.66m² (건물 80.66m² 증가) ,- ,"10,000",0,"10,000",신규계약 
,,,,,,,
장녀 ,아파트 ,서울특별시 서대문구 홍제동 홍제한양아파트 건물 60.06m² ,"377,000",0,0,"377,000",가액변동없음 
,,,,,,,
장녀 ,오피스텔 전세(임차)권 ,서울특별시 강남구 자곡동 강남 지웰홈스 건물 46.66m² (건물 46.66m² 증가) ,- ,"295,000",0,"295,000",신규계약 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차 건설기계 선박 및 항공기(소계) ,"10,330",0,"1,800","8,530",,,
,,,,,,,
본인 ,자동차 ,"2004년식 뉴그랜저 배기량(2,493cc) ","3,060",0,550,"2,510",가액변동 
,,,,,,,
장녀 ,자동차 ,"2011년식 sm3 배기량(1,598cc) ","7,270",0,"1,250","6,020",가액변동 
,,,,,,,
▶ 현금(소계) ,"20,000","10,000",0,"30,000",,,
,,,,,,,
본인 ,,현금 증가 ,"20,000","10,000",0,"30,000",생활자금 등 
,,,,,,,
▶ 예금(소계) ,"1,108,588","815,555","959,704","964,439",,,
,,,,,,,
본인 ,,"제주은행 551(3 감소), 삼성생명보험 29,914, 신한은행 12, 제주중앙신협 12, 우체국 244,795(422,734 감소), 농협은행 3,443(2,094 증가), 국민은행 210,970(201,820 증가) ","708,520","437,357","656,180","489,697","급여 저축 및 생활비 지출, 전세 계약 등 "
,,,,,,,
배우자 ,,"(주)KEB하나은행 1, 국민은행 150,307(112,111 증가), KB증권 100,966(100,966 증가), 우체국 2,592, 신한은행 93,602(3,296 증가), AIA생명보험주식회사 5,600(665 증가), 우리은행 92(67 감소) ","136,189","299,587","82,616","353,160",
,,,,,,,
장녀 ,,"(주)KEB하나은행 1,492(2,894 감소), 삼성전자 2,425(204,118 감소), 미래에셋대우(주) 0(219 감소), 새마을금고중앙회 공제사업부 11,570(1,560 증가), 삼성전자 ","263,879","78,611","220,908","121,582",
,,,,,,,
,,"57,600(57,600 증가), PCA생명보험 13,553(1,106 증가), 우리은행 16,049(2,524 증가), 한국카카오은행(주) 272(272 증가), 삼성화재해상보험 18,621(1,872 증가) ",,,,,
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"3,459","49,288",0,"52,747",,,
,,,,,,,
본인 ,,"농협중앙회 52,747(49,288 증가) ","3,459","49,288",0,"52,747",후원금 증가 
,,,,,,,
▶ 유가증권(소계) ,816,0,816,0,,,
,,,,,,,
장녀 ,상장주식 ,두산중공업 0주(30주 감소) ,816,0,816,0,전량 매도 
,,,,,,,
▶ 채무(소계) ,"817,187","230,500","65,888","981,799",,,
,,,,,,,
본인 ,금융기관채무 ,"현대캐피탈 1,299(65,888 감소) ","67,187",0,"65,888","1,299",차량리스 
,,,,,,,
본인 ,건물임대채무 ,서울특별시 강남구 수서동 한아름아파트 임대보증금 증가 ,"450,000","100,000",0,"550,000",전세보증금 
,,,,,,,
본인 ,건물임대채무 ,제주특별자치도 북제주군 한경면 고산리 임대보증금 증가 ,0,500,0,500,임대보증금 
,,,,,,,
장녀 ,금융기관채무 ,"새마을금고 130,000(130,000 증가) ",0,"130,000",0,"130,000",전세대출 
,,,,,,,
장녀 ,건물임대채무 ,서울특별시 서대문구 홍제동 홍제한양아파트 임대보증금 ,"300,000",0,0,"300,000",전세보증금 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
장남 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"2,111,355","1,052,838","906,432","2,257,761","증 감 액 : 146,406천원 (가액변동: 1,695천원) ",,
,,,,,,,
